run_name,method,lr,steps,seed,final_loss,initial_loss,n_points
hd7_m2d_seed0_10k,other,1e-3,10K,0,0.135783,0.363112,100
hd8_m2d_seed0_10k,other,1e-3,10K,0,0.136923,0.366769,100
lat_c4s1_m2d_seed0_10k,other,1e-3,10K,0,0.147312,0.498481,100
lat_c4s4_m2d_seed0_10k,other,1e-3,10K,0,0.167822,0.483792,100
lat_c6s1_m2d_seed0_10k,other,1e-3,10K,0,0.184109,0.888484,83
learned_hd10_m2d_seed0_10k,learned_cheb,1e-3,10K,0,0.136348,0.360487,100
learned_zero_hd10_m2d_seed0_10k,learned_zero,1e-3,10K,0,0.136099,0.358516,100
leg4_hd10_m2d_seed0_10k,hd10,1e-3,10K,0,0.136780,0.360898,100
leg6_hd10_m2d_seed0_10k,hd10,1e-3,10K,0,0.136863,0.366613,100
ms46_m2d_seed0_10k,ms46,1e-3,10K,0,0.135737,0.362449,100
ms46_m2d_seed1_10k,ms46,1e-3,10K,1,0.134365,0.361766,100
ms46_m2d_seed2_10k,ms46,1e-3,10K,2,0.134915,0.361658,100
ms46_m2d_seed42_10k,ms46,1e-3,10K,42,0.133368,0.361300,100
ms46_m2d_seed7_10k,ms46,1e-3,10K,7,0.134260,0.363064,100
ms46hd10_m2d_seed0_10k,mshd10,1e-3,10K,0,0.135985,0.363366,100
ms46hd10_m2d_seed1_10k,mshd10,1e-3,10K,1,0.135491,0.363560,100
ms46hd10_m2d_seed2_10k,mshd10,1e-3,10K,2,0.246328,0.365257,2
ms46hd10_m2d_seed42_10k,mshd10,1e-3,10K,42,0.134178,0.359753,100
ms46hd10_m2d_seed7_10k,mshd10,1e-3,10K,7,0.134922,0.362839,100
ms46hd20_m2d_seed0_10k,ms46,1e-3,10K,0,0.135387,0.362713,100
mshd10_m2d_s0_100k,mshd10,1e-3,100K,0,0.114686,0.360751,1000
mshd10_m2d_s2_100k,mshd10,1e-3,100K,2,0.114529,0.363611,1000
mshd10_m2d_s7_100k,mshd10,1e-3,100K,7,0.114525,0.365343,1000
mshd10_m2d_seed0_10k,mshd10,1e-3,10K,0,0.135566,0.362185,100
mshd10_m2d_seed1_10k,mshd10,1e-3,10K,1,0.135312,0.360337,100
mshd10_m2d_seed2_10k,mshd10,1e-3,10K,2,0.135152,0.363889,100
multi_stride_m2d_seed0_10k,other,1e-3,10K,0,0.135982,0.363552,100
sd30_m2d_seed0_10k,other,1e-3,10K,0,0.136509,0.359753,100
soup_hd10_bl_s0,hd10,1e-3,10K,?,N/A,N/A,0
soup_hd10_bl_s0_50,hd10,1e-3,10K,0,N/A,N/A,0
zero_lr2e3_seed0_10k,zero,2e-3,10K,0,0.135674,0.336358,100
zero_lr2e3_seed1_10k,zero,2e-3,10K,1,0.135581,0.335564,100
zero_lr2e3_seed2_10k,zero,2e-3,10K,2,0.135321,0.336219,100
zero_lr2e3_seed42_10k,zero,2e-3,10K,42,0.134398,0.336075,100
zero_lr2e3_seed7_10k,zero,2e-3,10K,7,0.135867,0.338135,100
zero_m2d_s0_100k,zero,1e-3,100K,0,0.118612,0.360763,1000
zero_m2d_s1_100k,zero,1e-3,100K,1,0.118832,0.359608,1000
zero_m2d_s2_100k,zero,1e-3,100K,2,0.118380,0.358127,1000
zero_m2d_s42_100k,zero,1e-3,100K,42,0.118713,0.357839,1000
zero_m2d_s7_100k,zero,1e-3,100K,7,0.118836,0.359510,1000
zero_m2d_seed0_10k,zero,1e-3,10K,0,0.137793,0.356896,100
zero_m2d_seed1_10k,zero,1e-3,10K,1,0.136870,0.361596,100
zero_m2d_seed2_10k,zero,1e-3,10K,2,0.136292,0.360930,100
zero_m2d_seed42_10k,zero,1e-3,10K,42,0.135300,0.357741,100
zero_m2d_seed7_10k,zero,1e-3,10K,7,0.136565,0.362040,100
