config,BL_s0,BL_s1,BL_s2,BL_s7,BL_s42,HD_s0,HD_s1,HD_s2,HD_s7,HD_s42,BL_mean,HD_mean,BL_std,HD_std,delta_pct,hd_seed_wins,dataset_name,term,ds_base
solar/10T/long,1.818241684884432,1.1150236993110254,1.8160083423029545,1.5358656435322728,1.4066088158315535,1.0344951524460848,1.120424274740189,1.0141052092223073,0.9452857533994532,1.377251947315581,1.5383496371724479,1.098312467424723,0.29664818337779686,0.16798575288916726,28.60449660563068,4,solar/10T,long,solar
solar/10T/medium,1.4714909143301225,0.9692384249509848,1.392880271823735,1.2745721348905867,1.294575579362225,1.0076890519743833,1.07028059218769,0.9592389054820551,0.9531648629199452,1.2639195661068634,1.2805514650715308,1.0508585957341874,0.19119615008525687,0.12803713682355308,17.93702756995502,4,solar/10T,medium,solar
LOOP_SEATTLE/H/long,1.3572307886683896,1.4699789902782274,1.3951085070985272,1.2001200334221935,1.3127403874088182,1.026409085229822,1.1781471525759886,1.122849927329732,1.118303900633438,1.0837105585174307,1.347035741375231,1.1058841248572824,0.10036230466595082,0.05583901733320722,17.902391830505504,5,LOOP_SEATTLE/H,long,LOOP_SEATTLE
LOOP_SEATTLE/H/medium,1.310296619943675,1.4674713224417455,1.323685319635986,1.2063477732153294,1.3312074427229126,1.0757643323322092,1.2109731534173132,1.116813477005047,1.1106301368608509,1.090391832296583,1.3278016955919296,1.1209145863824008,0.09299681615922402,0.05292286475203385,15.581175253530551,5,LOOP_SEATTLE/H,medium,LOOP_SEATTLE
us_births/M/short,0.904086757991856,1.27876502924377,0.9649841071269164,0.8485041652183417,0.84254724138711,0.7111428442183856,0.6629767780817132,1.0701843787235406,0.7651524821784735,0.905750868030328,0.9677774601935989,0.8230414702464882,0.18075280293028445,0.16538863686525007,14.955503294957603,3,us_births/M,short,us_births
bizitobs_l2c/H/medium,1.1051854845127322,0.7438491906534211,0.9020514312662634,1.190386455306713,1.0653414034773814,0.812015063218541,0.9842571828782822,0.8081633391283112,0.9111917243699208,0.8904675133887839,1.001362793043302,0.881218964596768,0.17802974522978438,0.07370054407594494,11.998032010096729,4,bizitobs_l2c/H,medium,bizitobs_l2c
LOOP_SEATTLE/5T/long,0.893896623338789,0.7334698712817943,0.7150151530741733,0.735908673132481,0.8326030280760554,0.67385584125993,0.7746927412404604,0.7082532406670642,0.6801599326549554,0.687608270838207,0.7821786697806588,0.7049140053321233,0.07753695034325055,0.04110074389108815,9.878134936893925,4,LOOP_SEATTLE/5T,long,LOOP_SEATTLE
bizitobs_l2c/H/short,0.8323334545074945,0.6457140733228423,0.7610563690794907,0.9009991277508674,0.8471738946573169,0.7122096150615919,0.7758590893260008,0.6614822397543442,0.7559445835921368,0.7057633982159747,0.7974553838636023,0.7222517851900097,0.09843783651048253,0.04492938197673672,9.430445915260826,4,bizitobs_l2c/H,short,bizitobs_l2c
m4_hourly/short,1.3150290073247315,1.0673761131915092,1.0942254861029772,1.067471980252615,1.0931222587244491,1.0427009985066091,1.0075820077581374,0.9937607662463808,1.032443689979386,1.0372117964128105,1.1274449691192565,1.0227398517806647,0.10568157447759587,0.021045169693139496,9.286938183810948,5,m4_hourly,short,m4_hourly
LOOP_SEATTLE/5T/medium,0.8393852535187222,0.6949781590552923,0.6837956251686056,0.6994293676932598,0.7763152978404454,0.6451568376321696,0.7119037486538717,0.674419249103329,0.6519497166751933,0.6693026584054691,0.7387807406552651,0.6705464420940064,0.06712054570971446,0.026064547995856665,9.236068945264869,4,LOOP_SEATTLE/5T,medium,LOOP_SEATTLE
LOOP_SEATTLE/H/short,1.0504720622746224,1.0379736755821338,1.0260146331297275,0.989839636738691,1.0728879184509048,0.926272561951338,0.9613132685299378,0.9697358102235416,0.949003194795124,0.963712263808034,1.035437585235216,0.9540074198615951,0.0308340706262422,0.017242435268729275,7.864323889220494,5,LOOP_SEATTLE/H,short,LOOP_SEATTLE
us_births/D/short,0.5038952249150002,0.5218186027600031,0.5153800373776234,0.5491542330388217,0.5094657200566822,0.4474906014992091,0.4924211983864581,0.4996077430916567,0.491254226848662,0.4727464636904129,0.5199427636296262,0.4807040467032797,0.017641847473868225,0.021049962895104066,7.546737770216885,5,us_births/D,short,us_births
ett1/15T/long,1.1759189675800756,1.0886970611031688,1.1115832089810438,1.149368131346928,1.1549497903924535,1.0022191806340623,1.151973413148857,1.0554331781124708,1.0380117963954345,1.0637396362483884,1.1361034318807337,1.0622754409078428,0.035231447903317635,0.05543050941359494,6.4983511977139505,4,ett1/15T,long,ett1
us_births/W/short,1.568659334455848,1.611020871616539,1.4726576173106096,1.526627466847151,1.5805712932695744,1.4158187474654642,1.4737605909697236,1.3889809512244686,1.4922119982581858,1.4867866276110633,1.5519073166999444,1.451511783105781,0.053656900041922306,0.04631395402219615,6.4691707110221985,5,us_births/W,short,us_births
electricity/15T/medium,1.149073737612048,1.1018774735825858,1.0962440911111857,1.0995079085995632,1.1223049943998862,1.059765406608294,1.0423555329051746,1.044254066056475,1.0307202416226056,1.0494098039855209,1.113801641061054,1.045301010235614,0.022199053645848395,0.010588575100901556,6.150164293184516,5,electricity/15T,medium,electricity
M_DENSE/H/long,0.7957095066069391,0.8031733089597463,0.7578125124060832,0.7375625208716826,0.7917954960276745,0.7256176330852624,0.726936701424598,0.7542392404190572,0.7293452187604113,0.7110763227604361,0.7772106689744251,0.729443023289953,0.028183536750919048,0.015597378766090284,6.146035764988187,5,M_DENSE/H,long,M_DENSE
