dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,183.07093476428582,1944706.6888886886,0.7813338177188586,0.7728308883729439,183.07093476428582,1944706.6888886886,0.7813338177188586,0.7728308883729439
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,294.224545206117,3136547.4328321884,1.090209557035068,0.8204093851004367,294.224545206117,3136547.4328321884,1.090209557035068,0.8204093851004367
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,302.9714392849751,3061769.575927052,0.9953944260636608,0.8278348054362459,302.9714392849751,3061769.575927052,0.9953944260636608,0.8278348054362459
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,307.7970352752693,2476007.843222245,1.1717648146609074,0.6053890615369696,307.7970352752693,2476007.843222245,1.1717648146609074,0.6053890615369696
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,130.94161032276796,1674276.5708996048,1.7826199771629383,0.6991016082185623,130.94161032276796,1674276.5708996048,1.7826199771629383,0.6991016082185623
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,150.5919296933414,2214522.50530071,4.527345855309156,0.7478671541385988,150.5919296933414,2214522.50530071,4.527345855309156,0.7478671541385988
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,222.07633441931418,2883398.8945271764,3.501371633425603,0.7456682451097639,222.07633441931418,2883398.8945271764,3.501371633425603,0.7456682451097639
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,154.27795862632254,1698570.7483694423,5.879255025585527,0.6057364951607899,154.27795862632254,1698570.7483694423,5.879255025585527,0.6057364951607899
bizitobs_application,short,10S,bizitobs_application/10S/short,60,1078.2269444444444,5294866.204444445,2.5769950008985134,0.0400400637307106,1078.2269444444444,5294866.204444445,2.5769950008985134,0.0400400637307106
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2697.8416666666667,22888064.0,5.802600157596759,0.08818786310996768,2697.8416666666667,22888064.0,5.802600157596759,0.08818786310996768
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2968.8147222222224,24212316.16,6.734501841876893,0.10083458887101444,2968.8147222222224,24212316.16,6.734501841876893,0.10083458887101444
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.667025357200986,20.043697902134486,0.27683123785221525,0.20852701218959926,2.667025357200986,20.043697902134486,0.27683123785221525,0.20852701218959926
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,9.18396444515306,163.9203869047619,0.8967171673468619,0.9186686920725593,9.18396444515306,163.9203869047619,0.8967171673468619,0.9186686920725593
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,12.934249751984128,323.3006746031746,1.2090509104495764,1.2118220847706467,12.934249751984128,323.3006746031746,1.2090509104495764,1.2118220847706467
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,7.733662923177083,161.73116629464286,0.7740483493305272,0.7600907587388362,7.733662923177083,161.73116629464286,0.7740483493305272,0.7600907587388362
