dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,188.46329838554146,1949918.6255755797,0.7837875439846317,0.7728209852279201,188.46329838554146,1949918.6255755797,0.7837875439846317,0.7728209852279201
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,323.17550420631625,3376229.654127053,1.0887041653209892,0.8153912627212796,323.17550420631625,3376229.654127053,1.0887041653209892,0.8153912627212796
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,356.89402984416347,3779530.739085676,1.0030295811119292,0.8292509285738365,356.89402984416347,3779530.739085676,1.0030295811119292,0.8292509285738365
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,334.4407843941716,2875929.7885767166,1.1694072840104437,0.6038682350678013,334.4407843941716,2875929.7885767166,1.1694072840104437,0.6038682350678013
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,126.93905804365777,1609520.3347202523,1.7814848502705438,0.6959455849050373,126.93905804365777,1609520.3347202523,1.7814848502705438,0.6959455849050373
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,154.44692589048356,2264493.3636924587,4.52417614030884,0.7463139737025921,154.44692589048356,2264493.3636924587,4.52417614030884,0.7463139737025921
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,232.87169990078058,3165647.9118652665,3.5017572352501105,0.7441187509032245,232.87169990078058,3165647.9118652665,3.5017572352501105,0.7441187509032245
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,149.4634304353127,1726051.2296857694,5.855390124980464,0.6016732486378099,149.4634304353127,1726051.2296857694,5.855390124980464,0.6016732486378099
bizitobs_application,short,10S,bizitobs_application/10S/short,60,929.7673611111111,4337404.871111111,2.6298176435667053,0.03887756743489501,929.7673611111111,4337404.871111111,2.6298176435667053,0.03887756743489501
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2395.291875,16453295.786666667,6.019440294358858,0.08522576264382689,2395.291875,16453295.786666667,6.019440294358858,0.08522576264382689
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2635.987222222222,18167825.066666666,6.670322823918202,0.09373950462027827,2635.987222222222,18167825.066666666,6.670322823918202,0.09373950462027827
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.5909296308244976,19.407412719726562,0.2688734104899467,0.20584850128720322,2.5909296308244976,19.407412719726562,0.2688734104899467,0.20584850128720322
