series_idx,dataset_idx,dataset,seasonality,oracle_method,raw_MASE,A1_d2_MASE,A1_d4_MASE,A1_d6_MASE,oracle_MASE
0,0,m4_monthly,12,raw,1.5775908669893808,1.9462413833812306,1.9041008848141465,1.9386954198232993,1.5775908669893808
1,0,m4_monthly,12,A1_d4,1.4323307387443371,1.3993435932582117,1.3498094627996007,1.5148991710088946,1.3498094627996007
2,0,m4_monthly,12,raw,0.9395249861172306,1.061122407429117,1.1619588502926113,1.2782347185016567,0.9395249861172306
3,0,m4_monthly,12,raw,0.9940637277790536,1.1757948321918286,1.08322616054449,1.0368263924580248,0.9940637277790536
4,0,m4_monthly,12,A1_d2,0.5630048994306807,0.5623477481387638,0.591590430762794,0.6355213398212666,0.5623477481387638
5,0,m4_monthly,12,A1_d4,2.047597496487672,1.6980099017384882,1.6964444497767264,1.9361179221071871,1.6964444497767264
6,0,m4_monthly,12,A1_d2,1.7221275956014321,1.6612499259820894,1.6837081964412846,1.7900347139576263,1.6612499259820894
7,0,m4_monthly,12,A1_d2,1.1032063389090594,0.9573509685031897,1.0246393992011367,1.1297213171680696,0.9573509685031897
8,0,m4_monthly,12,raw,0.4504407071206409,0.5154021089068337,0.5275395765632885,0.45221524103385563,0.4504407071206409
9,0,m4_monthly,12,raw,1.4212552880784786,1.4583779033577355,1.484528935459802,1.435510653472976,1.4212552880784786
10,0,m4_monthly,12,A1_d2,1.7893618871893908,1.7349574187395993,1.7357290635843212,2.140443920705331,1.7349574187395993
11,0,m4_monthly,12,A1_d2,0.28166471785203406,0.25605938655639354,0.2642081907223586,0.2771464210199151,0.25605938655639354
12,0,m4_monthly,12,A1_d4,0.2096535640685061,0.21518468375108898,0.2095471746746115,0.21666627335043925,0.2095471746746115
13,0,m4_monthly,12,raw,2.5737747883694397,2.6416200426723964,4.838420489263181,3.615010393333115,2.5737747883694397
14,0,m4_monthly,12,raw,0.3022956714693731,0.4875131493419325,0.43271808134868645,0.42456998838027593,0.3022956714693731
15,0,m4_monthly,12,A1_d2,1.636812439307842,1.492542761631778,2.182757589580998,1.727520647469026,1.492542761631778
16,0,m4_monthly,12,A1_d2,3.1555721053646972,3.0730130106053997,4.381793765923612,3.5722943462123276,3.0730130106053997
17,0,m4_monthly,12,A1_d4,1.355994550998223,1.259808719452514,1.2111854399064972,1.499113674078327,1.2111854399064972
18,0,m4_monthly,12,raw,1.542582936134663,1.721210924932695,1.8212191101898398,1.9452612152326223,1.542582936134663
19,0,m4_monthly,12,A1_d4,0.30306665908271735,0.27543989434550054,0.264903657882348,0.3304006352907259,0.264903657882348
20,0,m4_monthly,12,raw,1.7450933713647123,2.0515960411333003,2.352959952667768,2.359661097672121,1.7450933713647123
21,0,m4_monthly,12,raw,0.9500894644271384,1.267060910858599,1.5430072438237301,1.5128412087031624,0.9500894644271384
22,0,m4_monthly,12,raw,1.1554805192348152,1.6376850627489958,1.6450560263062384,2.5257866629929824,1.1554805192348152
23,0,m4_monthly,12,A1_d4,0.6957296257791851,0.7095289462860885,0.6627913746819223,0.8097405665773216,0.6627913746819223
24,0,m4_monthly,12,A1_d2,0.9929136550678456,0.8448726669846113,0.859370754870239,0.9725635423863072,0.8448726669846113
25,0,m4_monthly,12,A1_d2,0.8091427887821314,0.7464124890929775,0.7798797452556315,0.8646051702972118,0.7464124890929775
26,0,m4_monthly,12,A1_d2,1.4321796377344547,1.052049896709688,1.193343840384385,1.4281314175967943,1.052049896709688
27,0,m4_monthly,12,A1_d2,2.596925122365686,1.7613567922998339,1.804008240059582,1.8891694850595973,1.7613567922998339
28,0,m4_monthly,12,A1_d6,2.0858629481329833,2.1735067668423724,2.1788238381585834,1.982745156283458,1.982745156283458
29,0,m4_monthly,12,A1_d2,1.424586279732135,1.259806435221589,1.3290525736174592,1.455308944615991,1.259806435221589
30,0,m4_monthly,12,A1_d4,1.2394497549242487,1.1199528305655166,0.9197633395914419,1.0570425054730654,0.9197633395914419
31,0,m4_monthly,12,A1_d4,1.0008780293106503,1.0487460856265323,0.7061465033213501,1.271964322380544,0.7061465033213501
32,0,m4_monthly,12,A1_d4,1.2085693315582193,1.3091725458399477,1.0947787079061952,1.1342103380597985,1.0947787079061952
33,0,m4_monthly,12,raw,1.1904609522923713,1.2086805446675737,1.2541500328581823,1.602933009422513,1.1904609522923713
34,0,m4_monthly,12,A1_d2,1.5421708921175197,1.109726999224904,1.165892864954086,1.2836172422039014,1.109726999224904
35,0,m4_monthly,12,raw,1.4535087539154943,1.4740842542508241,1.5527262464120881,1.5187501591118673,1.4535087539154943
36,0,m4_monthly,12,A1_d2,0.8180506652491147,0.7372403369219119,0.7936497323380768,1.0163443377786163,0.7372403369219119
37,0,m4_monthly,12,A1_d2,1.1953344444452976,0.9884433910198377,1.0382065946545318,1.511206100937577,0.9884433910198377
38,0,m4_monthly,12,A1_d6,0.9709553078709507,1.0691881088366397,1.116603030280007,0.874281385412947,0.874281385412947
39,0,m4_monthly,12,A1_d2,1.7567393028732547,1.445835418566375,1.9959460219453993,2.0770207023349903,1.445835418566375
40,0,m4_monthly,12,A1_d4,1.4825069386035867,0.9577756078953314,0.9537430207974981,1.107782207378568,0.9537430207974981
41,0,m4_monthly,12,A1_d6,0.5418979261801666,0.4029250994493871,0.4102534440993883,0.38506924388601055,0.38506924388601055
42,0,m4_monthly,12,raw,0.5426862475681075,0.6485567312889166,0.6316324473361868,0.7424519062277288,0.5426862475681075
43,0,m4_monthly,12,A1_d2,0.8087965580380642,0.7402019045456224,0.8739229143185367,0.9814538677696235,0.7402019045456224
44,0,m4_monthly,12,raw,0.6809978016682106,0.7546732013072254,0.7913377583617008,0.8482460792240074,0.6809978016682106
45,0,m4_monthly,12,A1_d2,0.2081884526185728,0.16431357431206148,0.20506144818378327,0.22766531583842176,0.16431357431206148
