dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,292.47717808642113,2296700.562918148,1.0786501935210042,0.8242017518429041,292.47717808642113,2296700.562918148,1.0786501935210042,0.8242017518429041
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,372.0926400177379,3137602.2118141036,1.4303549937489606,0.8612416981085331,372.0926400177379,3137602.2118141036,1.4303549937489606,0.8612416981085331
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,437.37002569840223,4216643.106592509,1.3701606767948262,0.8761093402786645,437.37002569840223,4216643.106592509,1.3701606767948262,0.8761093402786645
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,486.29657593301636,4094814.7779894867,1.7338230704707105,0.6856973780352683,486.29657593301636,4094814.7779894867,1.7338230704707105,0.6856973780352683
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,212.38583705376016,1764933.5702018342,2.2368727167678766,0.7848402077925332,212.38583705376016,1764933.5702018342,2.2368727167678766,0.7848402077925332
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,261.49366810434054,2067561.4027150078,5.121544161166452,0.834742878888392,261.49366810434054,2067561.4027150078,5.121544161166452,0.834742878888392
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,271.8164824469948,2358627.0730395094,4.163274386577474,0.8327394451238576,271.8164824469948,2358627.0730395094,4.163274386577474,0.8327394451238576
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,263.33327832121785,1803718.730990633,6.953718004307328,0.7575928347334845,263.33327832121785,1803718.730990633,6.953718004307328,0.7575928347334845
bizitobs_application,short,10S,bizitobs_application/10S/short,60,2459.415,15906232.32,8.175088216746932,0.12119198420671955,2459.415,15906232.32,8.175088216746932,0.12119198420671955
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,3120.462916666667,24720296.96,10.673975643306308,0.1517170748288472,3120.462916666667,24720296.96,10.673975643306308,0.1517170748288472
bizitobs_application,long,10S,bizitobs_application/10S/long,900,3351.8008333333332,27207941.68888889,11.231427846208726,0.15948887727827313,3351.8008333333332,27207941.68888889,11.231427846208726,0.15948887727827313
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,10.78954329717727,165.99495675223216,1.0391864537193443,0.52468449371156,10.78954329717727,165.99495675223216,1.0391864537193443,0.52468449371156
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,14.462077487244898,328.83790391156464,1.3682158464917948,0.9720613109527196,14.462077487244898,328.83790391156464,1.3682158464917948,0.9720613109527196
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,15.43358878968254,380.075873015873,1.4802015515142233,1.0715029046367652,15.43358878968254,380.075873015873,1.4802015515142233,1.0715029046367652
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,10.8367919921875,207.4115978422619,1.0358717486257756,0.8198210866634564,10.8367919921875,207.4115978422619,1.0358717486257756,0.8198210866634564
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,11.669377790178572,225.83709077380954,1.1387340173327172,0.9493202141010166,11.669377790178572,225.83709077380954,1.1387340173327172,0.9493202141010166
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,11.4728515625,220.2669146825397,1.1566749619415253,0.9320774683746337,11.4728515625,220.2669146825397,1.1566749619415253,0.9320774683746337
bizitobs_service,short,10S,bizitobs_service/10S/short,60,122.21040343915344,96540.53942625661,4.3365453990194425,0.20284860949967962,122.21040343915344,96540.53942625661,4.3365453990194425,0.20284860949967962
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,153.49908234126985,168995.88571428572,5.456565348236967,0.23446744841634987,153.49908234126985,168995.88571428572,5.456565348236967,0.23446744841634987
bizitobs_service,long,10S,bizitobs_service/10S/long,900,168.05351851851853,205919.13989417988,5.578365770611616,0.24326225766606888,168.05351851851853,205919.13989417988,5.578365770611616,0.24326225766606888
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.6507171985874047,1.3975286616166622,1.119431550800507,1.782906840592452,0.6507171985874047,1.3975286616166622,1.119431550800507,1.782906840592452
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.6852819536578907,29.196049786520774,0.8624683357524212,1.0161032699206503,2.6852819536578907,29.196049786520774,0.8624683357524212,1.0161032699206503
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,11.898023960954053,493.96117439916577,0.8972599313924184,0.5640052793000105,11.898023960954053,493.96117439916577,0.8972599313924184,0.5640052793000105
restaurant,short,D,restaurant/D/short,30,7.79070957704364,155.06596407432053,0.7413817617721989,0.4411818876082584,7.79070957704364,155.06596407432053,0.7413817617721989,0.4411818876082584
covid_deaths,short,D,covid_deaths/D/short,30,1451.8305568609023,52341277.44962406,125.75460850698522,0.8910397420893055,1451.8305568609023,52341277.44962406,125.75460850698522,0.8910397420893055
hospital,short,M,hospital/M/short,12,27.21326367951434,6874.308432475011,0.9412639817921401,0.2064118846391394,27.21326367951434,6874.308432475011,0.9412639817921401,0.2064118846391394
electricity/15T,short,15T,electricity/15T/15T/short,48,147.93760027086412,678104.0350265695,2.559927356078953,0.3447936563661745,147.93760027086412,678104.0350265695,2.559927356078953,0.3447936563661745
electricity/15T,medium,15T,electricity/15T/15T/medium,480,170.3981030493384,1818172.6131132108,2.505080264810817,0.3241775948796092,170.3981030493384,1818172.6131132108,2.505080264810817,0.3241775948796092
electricity/15T,long,15T,electricity/15T/15T/long,720,203.69326465723535,3403036.8997924645,2.679567606834494,0.3308567442836874,203.69326465723535,3403036.8997924645,2.679567606834494,0.3308567442836874
electricity/D,short,D,electricity/D/D/short,30,8162.024630630631,6314525798.635243,2.2803602955728186,0.15690366740401093,8162.024630630631,6314525798.635243,2.2803602955728186,0.15690366740401093
electricity/H,short,H,electricity/H/H/short,48,484.3279048445418,9223362.833702844,2.5343518133033935,0.2912548890137219,484.3279048445418,9223362.833702844,2.5343518133033935,0.2912548890137219
electricity/H,medium,H,electricity/H/H/medium,480,864.574696825732,74013082.22108108,3.312622475084356,0.3419283810274589,864.574696825732,74013082.22108108,3.312622475084356,0.3419283810274589
electricity/H,long,H,electricity/H/H/long,720,977.9255178303304,110821940.95995195,3.704054484461216,0.3781122271134504,977.9255178303304,110821940.95995195,3.704054484461216,0.3781122271134504
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8,62171.65909346847,413721155822.0108,2.3563063861215623,0.13884323888087877,62171.65909346847,413721155822.0108,2.3563063861215623,0.13884323888087877
ett1/15T,short,15T,ett1/15T/15T/short,48,2.214136078244164,14.217338235037667,1.3418945950702237,0.457336366466532,2.214136078244164,14.217338235037667,1.3418945950702237,0.457336366466532
ett1/15T,medium,15T,ett1/15T/15T/medium,480,2.753560887896825,22.107397383432538,1.6417906497736,0.6364617630573354,2.753560887896825,22.107397383432538,1.6417906497736,0.6364617630573354
ett1/15T,long,15T,ett1/15T/15T/long,720,2.770600818452381,22.360872705853176,1.6676777842903623,0.6389484967894009,2.770600818452381,22.360872705853176,1.6676777842903623,0.6389484967894009
ett1/D,short,D,ett1/D/D/short,30,169.1038070436508,58906.94603174603,2.1978143160421886,0.5505938831574266,169.1038070436508,58906.94603174603,2.1978143160421886,0.5505938831574266
ett1/H,short,H,ett1/H/H/short,48,8.869057791573661,225.47782505580358,1.4510513363310735,0.4744546017720029,8.869057791573661,225.47782505580358,1.4510513363310735,0.4744546017720029
ett1/H,medium,H,ett1/H/H/medium,480,12.044859095982142,395.70513392857146,2.0163623823337407,0.7000246352543176,12.044859095982142,395.70513392857146,2.0163623823337407,0.7000246352543176
ett1/H,long,H,ett1/H/H/long,720,12.493690062830687,432.3844907407407,2.128973748231728,0.7222366318590029,12.493690062830687,432.3844907407407,2.128973748231728,0.7222366318590029
ett1/W,short,W-THU,ett1/W/W-THU/short,8,1019.8439592633929,2045964.857142857,1.6483591486126827,0.4993046315860223,1019.8439592633929,2045964.857142857,1.6483591486126827,0.4993046315860223
