dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,173.03079778635663,1920015.3168731541,0.7877577432705694,0.7695719924765121,173.03079778635663,1920015.3168731541,0.7877577432705694,0.7695719924765121
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,279.1098145637942,3039300.206389916,1.104885970924553,0.8118411088230459,279.1098145637942,3039300.206389916,1.104885970924553,0.8118411088230459
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,321.5188642729729,3583288.5696552875,1.004453496416001,0.8369090771475483,321.5188642729729,3583288.5696552875,1.004453496416001,0.8369090771475483
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,290.58458323693975,2304426.254203832,1.1733128107616069,0.6032257558433848,290.58458323693975,2304426.254203832,1.1733128107616069,0.6032257558433848
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,131.02373184768138,1671722.8689015545,1.7960182274594103,0.7021761164675903,131.02373184768138,1671722.8689015545,1.7960182274594103,0.7021761164675903
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,148.56759558151066,2225854.8016177933,4.558594471029793,0.7439211415250985,148.56759558151066,2225854.8016177933,4.558594471029793,0.7439211415250985
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,191.09022966823218,2303198.7541888785,3.545813363482278,0.7570263588210774,191.09022966823218,2303198.7541888785,3.545813363482278,0.7570263588210774
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,147.9558002973862,1714660.3950446572,5.857241154109546,0.602740338142141,147.9558002973862,1714660.3950446572,5.857241154109546,0.602740338142141
bizitobs_application,short,10S,bizitobs_application/10S/short,60,829.921875,3714026.9511111113,2.7084632868467122,0.0388586475952347,829.921875,3714026.9511111113,2.7084632868467122,0.0388586475952347
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2380.0114583333334,21659171.84,8.82091908413763,0.12330958019649846,2380.0114583333334,21659171.84,8.82091908413763,0.12330958019649846
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2786.7438888888887,23864172.088888887,11.022463297183393,0.15321060382097046,2786.7438888888887,23864172.088888887,11.022463297183393,0.15321060382097046
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.6567374638148715,20.4546875,0.27706132811713574,0.2069285807838021,2.6567374638148715,20.4546875,0.27706132811713574,0.2069285807838021
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.512313988095238,152.69343112244897,0.8291411954702226,0.8933396377346127,8.512313988095238,152.69343112244897,0.8291411954702226,0.8933396377346127
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,12.421594742063492,333.2272222222222,1.1372611218128048,1.1288295330121845,12.421594742063492,333.2272222222222,1.1372611218128048,1.1288295330121845
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,8.508275592137897,182.5831783234127,0.8468299879057404,0.8374008224740884,8.508275592137897,182.5831783234127,0.8468299879057404,0.8374008224740884
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,10.945186941964286,213.65829613095238,1.0811649458309598,0.9814483369409212,10.945186941964286,213.65829613095238,1.0811649458309598,0.9814483369409212
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,11.32937515500992,217.07123015873015,1.1432897261647248,0.9485006536508066,11.32937515500992,217.07123015873015,1.1432897261647248,0.9485006536508066
