dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,188.87417130943797,2071447.8936307323,0.7677918731139062,0.7849999394659184,188.87417130943797,2071447.8936307323,0.7677918731139062,0.7849999394659184
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,306.7915101259003,3419038.7168856766,1.0640785293446369,0.8271223067278752,306.7915101259003,3419038.7168856766,1.0640785293446369,0.8271223067278752
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,304.76118721347217,3320613.3875931976,0.9571525861055081,0.8301534116999996,304.76118721347217,3320613.3875931976,0.9571525861055081,0.8301534116999996
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,315.76777693678827,2749602.1435975377,1.1572483037889316,0.5996576489208013,315.76777693678827,2749602.1435975377,1.1572483037889316,0.5996576489208013
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,132.42133758138402,1717341.9673786492,1.7556904525615185,0.7151500990092898,132.42133758138402,1717341.9673786492,1.7556904525615185,0.7151500990092898
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,154.16701483439044,2260566.3275668835,4.468054634838634,0.7855763634812396,154.16701483439044,2260566.3275668835,4.468054634838634,0.7855763634812396
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,243.36659913454682,3511604.9330646642,3.42723874027694,0.754642725338053,243.36659913454682,3511604.9330646642,3.42723874027694,0.754642725338053
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,158.66822189461783,1752077.2685859427,5.834837402812142,0.6037083308406969,158.66822189461783,1752077.2685859427,5.834837402812142,0.6037083308406969
bizitobs_application,short,10S,bizitobs_application/10S/short,60,891.1345833333334,5412556.231111111,3.1216902522635155,0.04599871867730215,891.1345833333334,5412556.231111111,3.1216902522635155,0.04599871867730215
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2254.3314583333336,21452718.08,9.134203065754193,0.12614385648438875,2254.3314583333336,21452718.08,9.134203065754193,0.12614385648438875
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2480.1975,20984420.124444444,14.479942529920185,0.18800144887040984,2480.1975,20984420.124444444,14.479942529920185,0.18800144887040984
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.7309630621047245,21.623201715378535,0.2865116043743535,0.21126700582950986,2.7309630621047245,21.623201715378535,0.2865116043743535,0.21126700582950986
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.317710326318027,152.36145833333333,0.8143517001099019,0.8780663020594757,8.317710326318027,152.36145833333333,0.8143517001099019,0.8780663020594757
