dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,174.29518248822183,1748875.3723945157,0.8011585388414687,0.7652344302187147,174.29518248822183,1748875.3723945157,0.8011585388414687,0.7652344302187147
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,280.7298557874605,3236538.717290134,1.080784089670975,0.8154142807691439,280.7298557874605,3236538.717290134,1.080784089670975,0.8154142807691439
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,315.5130105273486,3616233.960154773,0.994306774864788,0.8419262118442958,315.5130105273486,3616233.960154773,0.994306774864788,0.8419262118442958
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,295.6788329816641,2403445.819692569,1.2078395861724098,0.6095022356442795,295.6788329816641,2403445.819692569,1.2078395861724098,0.6095022356442795
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,132.7538507519158,1728061.1538798092,1.7967712252994303,0.6973761986919522,132.7538507519158,1728061.1538798092,1.7967712252994303,0.6973761986919522
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,149.85931133652068,2214405.0830784496,4.5294392345426955,0.7449455951785207,149.85931133652068,2214405.0830784496,4.5294392345426955,0.7449455951785207
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,252.68198804267286,3715150.9132352932,3.494689247709209,0.74118648266576,252.68198804267286,3715150.9132352932,3.494689247709209,0.74118648266576
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,154.21353196697382,1713354.112192602,5.915397985826053,0.6049142369338425,154.21353196697382,1713354.112192602,5.915397985826053,0.6049142369338425
bizitobs_application,short,10S,bizitobs_application/10S/short,60,1188.9797222222223,6462160.213333333,3.043990213655455,0.0468096738579053,1188.9797222222223,6462160.213333333,3.043990213655455,0.0468096738579053
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2293.090833333333,21615155.2,7.473410236248087,0.1067674261048488,2293.090833333333,21615155.2,7.473410236248087,0.1067674261048488
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2486.5019444444442,20689030.257777777,10.58295179006283,0.14557430148129327,2486.5019444444442,20689030.257777777,10.58295179006283,0.14557430148129327
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.756139664422898,21.620645141601564,0.28720214738549565,0.2128072452174875,2.756139664422898,21.620645141601564,0.28720214738549565,0.2128072452174875
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.536966544430273,154.73920068027212,0.840284131807178,0.9164471524676359,8.536966544430273,154.73920068027212,0.840284131807178,0.9164471524676359
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,13.300580357142858,383.42238095238093,1.254637446497419,1.1961958555552046,13.300580357142858,383.42238095238093,1.254637446497419,1.1961958555552046
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,9.419593447730655,200.82418774801587,0.908453579972744,0.8395612963680675,9.419593447730655,200.82418774801587,0.908453579972744,0.8395612963680675
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,11.930916341145833,259.38537946428573,1.1564193708749582,1.0403359523175162,11.930916341145833,259.38537946428573,1.1564193708749582,1.0403359523175162
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,11.482999286954366,234.9064732142857,1.1507313658334497,0.9594305232290199,11.482999286954366,234.9064732142857,1.1507313658334497,0.9594305232290199
bizitobs_service,short,10S,bizitobs_service/10S/short,60,51.67921676070602,28680.501772486772,1.7683226780144687,0.0974994280643765,51.67921676070602,28680.501772486772,1.7683226780144687,0.0974994280643765
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,118.84472718253969,167838.55746031745,4.232323989151019,0.1925358990705265,118.84472718253969,167838.55746031745,4.232323989151019,0.1925358990705265
bizitobs_service,long,10S,bizitobs_service/10S/long,900,134.36334656084657,201270.43724867725,5.13713182794154,0.22188465104015992,134.36334656084657,201270.43724867725,5.13713182794154,0.22188465104015992
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.49103643790617935,1.3091231531493135,0.8974752651632297,1.8581986674394875,0.49103643790617935,1.3091231531493135,0.8974752651632297,1.8581986674394875
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.315088738405591,29.523243681208662,0.7506024007487022,1.0618840373042542,2.315088738405591,29.523243681208662,0.7506024007487022,1.0618840373042542
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.563502554166115,503.8467789989407,0.7650762876498598,0.4881376803887869,9.563502554166115,503.8467789989407,0.7650762876498598,0.4881376803887869
restaurant,short,D,restaurant/D/short,30,7.27716238318098,146.29438466073597,0.6939297968320646,0.3996578398912132,7.27716238318098,146.29438466073597,0.6939297968320646,0.3996578398912132
covid_deaths,short,D,covid_deaths/D/short,30,280.0102938009085,2512968.17443609,48.32889381990052,0.4255277404412902,280.0102938009085,2512968.17443609,48.32889381990052,0.4255277404412902
hospital,short,M,hospital/M/short,12,18.078143673946112,2951.836793106258,0.7587587863012908,0.17272204661986063,18.078143673946112,2951.836793106258,0.7587587863012908,0.17272204661986063
electricity/15T,short,15T,electricity/15T/15T/short,48,73.11000950718785,184379.03974275055,1.3647120330537803,0.21507499232140903,73.11000950718785,184379.03974275055,1.3647120330537803,0.21507499232140903
electricity/15T,medium,15T,electricity/15T/15T/medium,480,73.67598679001267,388961.41140142875,1.1528608807129088,0.18740100267451987,73.67598679001267,388961.41140142875,1.1528608807129088,0.18740100267451987
electricity/15T,long,15T,electricity/15T/15T/long,720,78.83323689412069,505865.5633181424,1.1765717102000048,0.18388291388794614,78.83323689412069,505865.5633181424,1.1765717102000048,0.18388291388794614
electricity/D,short,D,electricity/D/D/short,30,5033.69709009009,2006550954.525982,1.570190936426566,0.10479982718308387,5033.69709009009,2006550954.525982,1.570190936426566,0.10479982718308387
electricity/H,short,H,electricity/H/H/short,48,193.25607128796275,1778558.9132628625,1.0447319481952155,0.1419189741493437,193.25607128796275,1778558.9132628625,1.0447319481952155,0.1419189741493437
electricity/H,medium,H,electricity/H/H/medium,480,302.72807445629223,11112185.240433559,1.227144410503208,0.14890242560126402,302.72807445629223,11112185.240433559,1.227144410503208,0.14890242560126402
electricity/H,long,H,electricity/H/H/long,720,363.2963026463964,17909111.252468467,1.4350197780231178,0.16685813516192208,363.2963026463964,17909111.252468467,1.4350197780231178,0.16685813516192208
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8,53057.217736486484,293212356591.85583,2.0750950198137845,0.12302290352986672,53057.217736486484,293212356591.85583,2.0750950198137845,0.12302290352986672
ett1/15T,short,15T,ett1/15T/15T/short,48,1.1549477304731097,4.610998616899763,0.7454312780575865,0.24963206070311406,1.1549477304731097,4.610998616899763,0.7454312780575865,0.24963206070311406
ett1/15T,medium,15T,ett1/15T/15T/medium,480,1.7083875868055556,9.941942041790675,1.1460316097838574,0.4447442799623201,1.7083875868055556,9.941942041790675,1.1460316097838574,0.4447442799623201
ett1/15T,long,15T,ett1/15T/15T/long,720,1.6833323160807292,9.121799510168652,1.1490375306016645,0.44643834086482687,1.6833323160807292,9.121799510168652,1.1490375306016645,0.44643834086482687
ett1/D,short,D,ett1/D/D/short,30,134.20328621031746,37972.58095238095,1.7487555987653007,0.4800701227907666,134.20328621031746,37972.58095238095,1.7487555987653007,0.4800701227907666
ett1/H,short,H,ett1/H/H/short,48,4.948621114095052,99.09020705450149,0.8331213858415708,0.2641102977386866,4.948621114095052,99.09020705450149,0.8331213858415708,0.2641102977386866
ett1/H,medium,H,ett1/H/H/medium,480,7.154833984375,140.88475632440475,1.326051991966399,0.4599259194804141,7.154833984375,140.88475632440475,1.326051991966399,0.4599259194804141
ett1/H,long,H,ett1/H/H/long,720,7.720154906580688,172.82030423280423,1.4472449433457812,0.5104584457369519,7.720154906580688,172.82030423280423,1.4472449433457812,0.5104584457369519
ett1/W,short,W-THU,ett1/W/W-THU/short,8,909.2699497767857,1411947.857142857,1.6575289245505362,0.5963847176732587,909.2699497767857,1411947.857142857,1.6575289245505362,0.5963847176732587
ett2/15T,short,15T,ett2/15T/15T/short,48,1.9854523250034877,9.131205386207217,0.8559502731204388,0.14225933700356536,1.9854523250034877,9.131205386207217,0.8559502731204388,0.14225933700356536
ett2/15T,medium,15T,ett2/15T/15T/medium,480,2.4187820870535712,14.647141617063491,1.0019151768133445,0.1780396774374354,2.4187820870535712,14.647141617063491,1.0019151768133445,0.1780396774374354
ett2/15T,long,15T,ett2/15T/15T/long,720,2.4440272352430554,13.720931299603174,1.0358048890222449,0.18861524678020292,2.4440272352430554,13.720931299603174,1.0358048890222449,0.18861524678020292
ett2/D,short,D,ett2/D/D/short,30,207.78416418650792,116834.08253968254,1.345615848001103,0.14187164192186974,207.78416418650792,116834.08253968254,1.345615848001103,0.14187164192186974
ett2/H,short,H,ett2/H/H/short,48,6.343892996651785,105.16575985863095,0.7450179903524717,0.11305897850726976,6.343892996651785,105.16575985863095,0.7450179903524717,0.11305897850726976
ett2/H,medium,H,ett2/H/H/medium,480,9.621732003348214,233.61830357142858,1.0543076120266397,0.17406811173323475,9.621732003348214,233.61830357142858,1.0543076120266397,0.17406811173323475
ett2/H,long,H,ett2/H/H/long,720,9.662848255621693,238.75246362433862,1.0788171745863948,0.18387591366858563,9.662848255621693,238.75246362433862,1.0788171745863948,0.18387591366858563
ett2/W,short,W-THU,ett2/W/W-THU/short,8,1779.2084263392858,5544570.285714285,1.2769502124104637,0.2526543171388799,1779.2084263392858,5544570.285714285,1.2769502124104637,0.2526543171388799
solar/10T,short,10T,solar/10T/10T/short,48,2.7792039411781477,30.812023658473997,1.225367132880891,1.586376570769238,2.7792039411781477,30.812023658473997,1.225367132880891,1.586376570769238
solar/10T,medium,10T,solar/10T/10T/medium,480,3.5639580395653616,28.343335268745854,1.5873493176105238,1.4952387675790546,3.5639580395653616,28.343335268745854,1.5873493176105238,1.4952387675790546
solar/10T,long,10T,solar/10T/10T/long,720,4.087731814790526,35.607526105028384,1.8208561198591362,1.5219556339378615,4.087731814790526,35.607526105028384,1.8208561198591362,1.5219556339378615
solar/D,short,D,solar/D/D/short,30,290.4827174574209,190195.55231143552,1.1362023512163215,0.45074270953917306,290.4827174574209,190195.55231143552,1.1362023512163215,0.45074270953917306
solar/H,short,H,solar/H/H/short,48,12.562870525370366,700.0099794708029,0.9738701373433842,1.4224037249452652,12.562870525370366,700.0099794708029,0.9738701373433842,1.4224037249452652
solar/H,medium,H,solar/H/H/medium,480,12.680515914879866,741.4972513686131,0.9691720810307232,1.4248439281669192,12.680515914879866,741.4972513686131,0.9691720810307232,1.4248439281669192
solar/H,long,H,solar/H/H/long,720,14.642296086146594,879.3128446877535,1.119359606209921,1.4503456019211103,14.642296086146594,879.3128446877535,1.119359606209921,1.4503456019211103
solar/W,short,W-FRI,solar/W/W-FRI/short,8,1564.6439110971714,3531475.5036496352,1.7296237454412717,0.29123839172110944,1564.6439110971714,3531475.5036496352,1.7296237454412717,0.29123839172110944
jena_weather/10T,short,10T,jena_weather/10T/10T/short,48,8.082069857158357,1354.2967100476462,0.34155924046746905,0.5966589614835052,8.082069857158357,1354.2967100476462,0.34155924046746905,0.5966589614835052
jena_weather/10T,medium,10T,jena_weather/10T/10T/medium,480,11.563873810651154,1860.9665313852813,0.6677089638467323,0.6780906550810539,11.563873810651154,1860.9665313852813,0.6677089638467323,0.6780906550810539
jena_weather/10T,long,10T,jena_weather/10T/10T/long,720,11.480382202794312,1718.8579323743386,0.6992305739329203,0.6741163414592981,11.480382202794312,1718.8579323743386,0.6992305739329203,0.6741163414592981
jena_weather/D,short,D,jena_weather/D/D/short,30,11.09265640500992,484.8357638888889,1.2809933374554852,0.46704449974939843,11.09265640500992,484.8357638888889,1.2809933374554852,0.46704449974939843
jena_weather/H,short,H,jena_weather/H/H/short,48,8.87756709685999,1231.9252733885494,0.5346535779982576,0.6145170395552895,8.87756709685999,1231.9252733885494,0.5346535779982576,0.6145170395552895
jena_weather/H,medium,H,jena_weather/H/H/medium,480,11.178386966765872,1486.0416666666667,0.8088746242964953,0.6996994640648496,11.178386966765872,1486.0416666666667,0.8088746242964953,0.6996994640648496
jena_weather/H,long,H,jena_weather/H/H/long,720,14.609853463955027,2504.7579365079364,1.0022064800381503,0.6893537430296884,14.609853463955027,2504.7579365079364,1.0022064800381503,0.6893537430296884
kdd_cup_2018_with_missing/D,short,D,kdd_cup_2018_with_missing/D/D/short,30,22.121646836714127,3078.2603148480616,1.2449357281346167,0.49206312740773783,22.121646836714127,3078.2603148480616,1.2449357281346167,0.49206312740773783
kdd_cup_2018_with_missing/H,short,H,kdd_cup_2018_with_missing/H/H/short,48,22.956801388665678,4666.46490211415,0.9546106406565361,0.509259266328841,22.956801388665678,4666.46490211415,0.9546106406565361,0.509259266328841
kdd_cup_2018_with_missing/H,medium,H,kdd_cup_2018_with_missing/H/H/medium,480,25.833821409608895,5337.399566902011,1.0593985507267056,0.5705325537986585,25.833821409608895,5337.399566902011,1.0593985507267056,0.5705325537986585
kdd_cup_2018_with_missing/H,long,H,kdd_cup_2018_with_missing/H/H/long,720,24.542464725862867,4232.883397243982,1.0405600703881683,0.6243978198020671,24.542464725862867,4232.883397243982,1.0405600703881683,0.6243978198020671
temperature_rain_with_missing,short,D,temperature_rain_with_missing/D/short,30,5.921607603622194,188.1005382781001,1.3970886257372483,1.4917206986839817,5.921607603622194,188.1005382781001,1.3970886257372483,1.4917206986839817
saugeenday/D,short,D,saugeenday/D/D/short,30,13.578434244791667,1286.5491666666667,3.016565780032162,0.3461533662283237,13.578434244791667,1286.5491666666667,3.016565780032162,0.3461533662283237
saugeenday/M,short,M,saugeenday/M/M/short,12,12.986243838355655,434.3900669642857,0.760844468766428,0.3836550326849245,12.986243838355655,434.3900669642857,0.760844468766428,0.3836550326849245
saugeenday/W,short,W-THU,saugeenday/W/W-THU/short,8,18.113568115234376,1415.98984375,1.4692303957336383,0.49908151000550244,18.113568115234376,1415.98984375,1.4692303957336383,0.49908151000550244
us_births/D,short,D,us_births/D/D/short,30,355.82416666666666,267851.14666666667,0.5238206215383732,0.0336494730490143,355.82416666666666,267851.14666666667,0.5238206215383732,0.0336494730490143
us_births/M,short,M,us_births/M/M/short,12,5729.544270833333,41893744.0,0.6474410659904536,0.018014057036224055,5729.544270833333,41893744.0,0.6474410659904536,0.018014057036224055
us_births/W,short,W-TUE,us_births/W/W-TUE/short,8,1657.402064732143,4995178.285714285,1.5062055976688977,0.02232689734659448,1657.402064732143,4995178.285714285,1.5062055976688977,0.02232689734659448
LOOP_SEATTLE/5T,short,5T,LOOP_SEATTLE/5T/5T/short,48,3.6628887967797623,41.69518176886812,0.581141990073115,0.07770949387451304,3.6628887967797623,41.69518176886812,0.581141990073115,0.07770949387451304
LOOP_SEATTLE/5T,medium,5T,LOOP_SEATTLE/5T/5T/medium,480,5.929826158773542,101.09130179107005,0.9362558530257956,0.13253313187248117,5.929826158773542,101.09130179107005,0.9362558530257956,0.13253313187248117
LOOP_SEATTLE/5T,long,5T,LOOP_SEATTLE/5T/5T/long,720,6.422452400276631,118.85876187865497,1.0124231435938231,0.1407328191743361,6.422452400276631,118.85876187865497,1.0124231435938231,0.1407328191743361
LOOP_SEATTLE/D,short,D,LOOP_SEATTLE/D/D/short,30,3.000345176956602,19.250627991289548,0.9031194622261697,0.0552092615687126,3.000345176956602,19.250627991289548,0.9031194622261697,0.0552092615687126
LOOP_SEATTLE/H,short,H,LOOP_SEATTLE/H/H/short,48,4.612286449223312,64.83777879848918,0.9383855408965429,0.10454558416416707,4.612286449223312,64.83777879848918,0.9383855408965429,0.10454558416416707
LOOP_SEATTLE/H,medium,H,LOOP_SEATTLE/H/H/medium,480,5.360249457738225,75.5005640681437,1.0948184181564289,0.11875449223118112,5.360249457738225,75.5005640681437,1.0948184181564289,0.11875449223118112
LOOP_SEATTLE/H,long,H,LOOP_SEATTLE/H/H/long,720,5.470151379365137,77.79258702727253,1.1361348309167376,0.12244937432568899,5.470151379365137,77.79258702727253,1.1361348309167376,0.12244937432568899
SZ_TAXI/15T,short,15T,SZ_TAXI/15T/15T/short,48,2.8945911108210263,18.351715460510626,0.5796124891692017,0.41344714695416196,2.8945911108210263,18.351715460510626,0.5796124891692017,0.41344714695416196
SZ_TAXI/15T,medium,15T,SZ_TAXI/15T/15T/medium,480,2.9552926348824786,18.306759356637286,0.5785311321323674,0.42139368249206693,2.9552926348824786,18.306759356637286,0.5785311321323674,0.42139368249206693
SZ_TAXI/15T,long,15T,SZ_TAXI/15T/15T/long,720,2.9232207295561787,17.777750790153135,0.555487465655063,0.418573109892126,2.9232207295561787,17.777750790153135,0.555487465655063,0.418573109892126
SZ_TAXI/H,short,H,SZ_TAXI/H/H/short,48,1.8835493886572683,7.524019159822383,0.5743858671134536,0.3030924327411249,1.8835493886572683,7.524019159822383,0.5743858671134536,0.3030924327411249
m4_daily,short,D,m4_daily/D/short,14,176.9889948594574,381742.3428132076,3.3086824475420933,0.03183451433617933,176.9889948594574,381742.3428132076,3.3086824475420933,0.03183451433617933
m4_hourly,short,H,m4_hourly/H/short,48,246.00861149786368,1377617.9726359171,1.1270869803167478,0.10978644031901773,246.00861149786368,1377617.9726359171,1.1270869803167478,0.10978644031901773
m4_monthly,short,M,m4_monthly/M/short,18,566.0695449309172,1909868.2786863425,0.9612105162779296,0.1328363225649388,566.0695449309172,1909868.2786863425,0.9612105162779296,0.1328363225649388
m4_quarterly,short,Q-DEC,m4_quarterly/Q-DEC/short,8,587.4834517822266,1887013.3854427084,1.2694132567942087,0.10676686253582945,587.4834517822266,1887013.3854427084,1.2694132567942087,0.10676686253582945
m4_weekly,short,W-SUN,m4_weekly/W-SUN/short,13,336.39906357135203,452601.1716305978,2.672508308361019,0.0883700906588558,336.39906357135203,452601.1716305978,2.672508308361019,0.0883700906588558
m4_yearly,short,A-DEC,m4_yearly/A-DEC/short,6,1072.0323638610494,4432045.377296073,4.22092114223372,0.1814621289663096,1072.0323638610494,4432045.377296073,4.22092114223372,0.1814621289663096
M_DENSE/D,short,D,M_DENSE/D/D/short,30,54.11044849537037,11152.255555555555,0.785108130491555,0.11518536805811162,54.11044849537037,11152.255555555555,0.785108130491555,0.11518536805811162
M_DENSE/H,short,H,M_DENSE/H/H/short,48,98.30709581163194,49275.50777777778,0.85222867153364,0.23812584889902585,98.30709581163194,49275.50777777778,0.85222867153364,0.23812584889902585
M_DENSE/H,medium,H,M_DENSE/H/H/medium,480,88.76372395833333,41514.92888888889,0.7590175301454494,0.21788979239148018,88.76372395833333,41514.92888888889,0.7590175301454494,0.21788979239148018
