dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
loop_seattle/5T/short,bl_official_s0_100k,0.5535369315359586,3.48533679816499,41.877471791553795,0.047319748372223275
loop_seattle/5T/medium,bl_official_s0_100k,0.8368717458743511,5.221054798358488,86.92520631772446,0.07869279429839028
loop_seattle/5T/long,bl_official_s0_100k,0.8940560094620039,5.606872312521499,99.94758743263387,0.08563033825084382
loop_seattle/D/short,bl_official_s0_100k,0.8690420835325253,2.8711604162635447,18.18920439886481,0.043415601757732084
loop_seattle/H/short,bl_official_s0_100k,1.0397075762265007,5.091564469992464,75.28367361054532,0.07339671712612877
loop_seattle/H/medium,bl_official_s0_100k,1.3609365269735847,6.670489873581011,108.55298955108358,0.09640913852004519
loop_seattle/H/long,bl_official_s0_100k,1.39081244707801,6.742874688252494,112.58632933436533,0.0989845362697141
m_dense/D/short,bl_official_s0_100k,0.7760625354846449,50.64967013888889,9175.562962962964,0.07198585997862715
m_dense/H/short,bl_official_s0_100k,0.7664061577406085,87.96706814236111,44941.764444444445,0.13223239784633767
m_dense/H/medium,bl_official_s0_100k,0.6962050049600528,82.31615451388889,39972.47111111111,0.1222273740829604
m_dense/H/long,bl_official_s0_100k,0.7078261222765649,83.42533950617283,37948.112592592595,0.12259844167935248
sz_taxi/15T/short,bl_official_s0_100k,0.5731205116852042,2.8701531825921474,18.108442704756182,0.2109835437624573
sz_taxi/15T/medium,bl_official_s0_100k,0.58262134030161,2.9684956346821583,18.260259748931624,0.22253041725886913
sz_taxi/15T/long,bl_official_s0_100k,0.5575441491465438,2.9234842414529916,17.592073985042735,0.22064821074560892
sz_taxi/H/short,bl_official_s0_100k,0.5994255956540079,1.9675272102029915,8.136051014957266,0.1447969857984466
bitbrains_fast_storage/5T/short,bl_official_s0_100k,0.7670966906171984,188.18755174589782,2183244.9201874603,0.4444660907385155
bitbrains_fast_storage/5T/medium,bl_official_s0_100k,1.1127355504823526,363.8519085343125,4698711.875283099,0.8630511449592161
bitbrains_fast_storage/5T/long,bl_official_s0_100k,1.065719914898577,439.10746508275133,6003829.717687016,0.9625116085070816
bitbrains_fast_storage/H/short,bl_official_s0_100k,1.1994817053385771,343.7325313386286,3822547.173842634,0.698137779893204
bitbrains_rnd/5T/short,bl_official_s0_100k,1.7469346556012328,131.09471572038387,1864103.9112497861,0.4343445882811553
bitbrains_rnd/5T/medium,bl_official_s0_100k,4.497444111922699,148.5368957771406,2194679.1585933445,0.5882527911830396
bitbrains_rnd/5T/long,bl_official_s0_100k,3.4523860137447278,195.12122265466957,2611447.587114715,0.6574554575783199
