dataset_config,model,MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T/5T/short,epoch_999-step_100000-v1,190.5912250352734,1743840.5241970012,0.8123130202453217,0.7676096933860083
bitbrains_fast_storage/5T/5T/medium,epoch_999-step_100000-v1,295.5386073981679,2596567.793846589,1.1229899775233125,0.8414664315033662
bitbrains_fast_storage/5T/5T/long,epoch_999-step_100000-v1,365.8408461233108,3219185.6100398614,1.0589385959396873,0.8643969990673955
bitbrains_fast_storage/H/H/short,epoch_999-step_100000-v1,334.8774151866903,2631938.186385583,1.179915590561298,0.6056235275188251
bitbrains_rnd/5T/5T/short,epoch_999-step_100000-v1,136.50162751041555,1620234.0316964819,1.7860059321675055,0.7029553932858831
bitbrains_rnd/5T/5T/medium,epoch_999-step_100000-v1,159.28054943998572,2249226.5338798147,4.528591350646045,0.7835265681861807
bitbrains_rnd/5T/5T/long,epoch_999-step_100000-v1,229.42548066628066,2895708.8266728357,3.5153171199562583,0.7624240951304773
bitbrains_rnd/H/H/short,epoch_999-step_100000-v1,205.25326505891655,2079447.5089812605,5.892641438229433,0.6262335820886177
bizitobs_application/10S/short,epoch_999-step_100000-v1,1395.0713888888888,6652472.32,4.032976132246502,0.05937990774842011
bizitobs_application/10S/medium,epoch_999-step_100000-v1,4207.003333333333,47616518.82666667,10.647791974985857,0.15607394820030548
bizitobs_application/10S/long,epoch_999-step_100000-v1,4780.879444444445,54084530.63111111,14.75135685340159,0.20889745311303057
bizitobs_l2c/5T/5T/short,epoch_999-step_100000-v1,2.9085569654192245,23.111597624279202,0.30263743690226375,0.2175069189480465
bizitobs_l2c/5T/5T/medium,epoch_999-step_100000-v1,7.717808646896258,130.1014880952381,0.7908614038995478,0.6934579710464994
bizitobs_l2c/5T/5T/long,epoch_999-step_100000-v1,10.274778645833333,263.3182738095238,0.9938561810258472,0.7668310244598225
bizitobs_l2c/H/H/short,epoch_999-step_100000-v1,9.188118102058532,186.6422371031746,0.8819165721099174,0.8169440490907505
bizitobs_l2c/H/H/medium,epoch_999-step_100000-v1,11.260691034226191,223.05238095238096,1.0996291975721246,0.9493563422571643
bizitobs_l2c/H/H/long,epoch_999-step_100000-v1,11.473225911458334,222.44900793650794,1.1657201892714757,0.8937996677799142
bizitobs_service/10S/short,epoch_999-step_100000-v1,66.06345263930226,32197.548687996034,2.320524486649409,0.11476719555594173
bizitobs_service/10S/medium,epoch_999-step_100000-v1,193.63790674603175,221357.03365079366,6.07307896005302,0.23578555848808969
bizitobs_service/10S/long,epoch_999-step_100000-v1,215.91727513227514,257912.65862433863,7.108271206945902,0.2669466660273403
car_parts_with_missing/M/short,epoch_999-step_100000-v1,0.5052233034987619,1.3206111519748793,0.9222313915100911,1.8431835769316016
hierarchical_sales/D/D/short,epoch_999-step_100000-v1,2.3965370282302865,29.28546435768913,0.7757044713021884,1.0323817088936895
hierarchical_sales/W/W-WED/short,epoch_999-step_100000-v1,10.078293622550317,515.6454478118379,0.8015045656414427,0.5060290652214157
restaurant/D/short,epoch_999-step_100000-v1,7.176026165891765,143.42142844634353,0.6901290041368754,0.4032815609274662
covid_deaths/D/short,epoch_999-step_100000-v1,274.3553311990915,2489955.7568922304,48.93180807238184,0.4257787504457374
hospital/M/short,epoch_999-step_100000-v1,18.533947430295253,3006.5909828607128,0.7764266080435549,0.17532475024748226
electricity/15T/15T/short,epoch_999-step_100000-v1,76.30499760808172,204061.9044842694,1.4418369049047486,0.22323968620225806
electricity/15T/15T/medium,epoch_999-step_100000-v1,141.49695726219383,1723977.9583322776,1.7203359321103493,0.24598396272899206
electricity/15T/15T/long,epoch_999-step_100000-v1,183.96984616354635,3446533.6540202587,2.02213312960977,0.26996954675651846
electricity/D/D/short,epoch_999-step_100000-v1,4880.99045045045,1662335614.4824505,1.5772520195743875,0.10471816295524818
electricity/H/H/short,epoch_999-step_100000-v1,200.21343708485097,1816313.459234762,1.0691050813806207,0.1458392247964494
electricity/H/H/medium,epoch_999-step_100000-v1,269.9885226632883,6460654.475484234,1.20341123812669,0.1514799770531293
electricity/H/H/long,epoch_999-step_100000-v1,322.9146234984985,10621659.964312313,1.3826953285625077,0.16730046374696605
electricity/W/W-FRI/short,epoch_999-step_100000-v1,53513.458389639636,226821167348.46848,2.0519205723541827,0.12224997744678251
ett1/15T/15T/short,epoch_999-step_100000-v1,1.237941260564895,5.227949378603981,0.8262441924143243,0.28112833401573967
ett1/15T/15T/medium,epoch_999-step_100000-v1,2.574574265252976,18.72023949032738,1.527533993195483,0.6379525229386477
ett1/15T/15T/long,epoch_999-step_100000-v1,2.9371776374937997,23.813152979290674,1.7159715246196405,0.7094144596904384
ett1/D/D/short,epoch_999-step_100000-v1,129.69347718253968,37914.12063492063,1.6493341133364388,0.46417315269542686
ett1/H/H/short,epoch_999-step_100000-v1,5.021622648693266,99.69263799758184,0.8386279900389401,0.2681110480783213
ett1/H/H/medium,epoch_999-step_100000-v1,7.351970563616072,141.6340029761905,1.3287379405729705,0.46662389570005824
ett1/H/H/long,epoch_999-step_100000-v1,8.346086516203703,186.44847883597885,1.519023407871845,0.5257321086622873
ett1/W/W-THU/short,epoch_999-step_100000-v1,883.9688197544643,1313985.5714285714,1.5767376857444362,0.58948708386966
ett2/15T/15T/short,epoch_999-step_100000-v1,2.205829184395926,11.052720278785342,0.956531909007984,0.157814827438281
ett2/15T/15T/medium,epoch_999-step_100000-v1,2.5957174634176585,15.68489025297619,1.0956952670510798,0.1942428835153835
ett2/15T/15T/long,epoch_999-step_100000-v1,2.677173316592262,16.024285714285714,1.1319319815684905,0.20066317657786417
ett2/D/D/short,epoch_999-step_100000-v1,217.72296626984127,130625.25714285714,1.4218719964776292,0.14711877412299804
ett2/H/H/short,epoch_999-step_100000-v1,6.483054024832589,108.4696033296131,0.7512546906586118,0.11283724131658879
ett2/H/H/medium,epoch_999-step_100000-v1,10.359240141369048,257.5875744047619,1.121403342720565,0.18279297847347564
ett2/H/H/long,epoch_999-step_100000-v1,10.290905051256614,257.8824404761905,1.1458791527816772,0.19139764335941561
ett2/W/W-THU/short,epoch_999-step_100000-v1,1487.6478794642858,4586270.857142857,0.973173461547469,0.1676534018090278
solar/10T/10T/short,epoch_999-step_100000-v1,3.1221932032972646,30.051608922359716,1.3756895369467017,1.5777665380148302
solar/10T/10T/medium,epoch_999-step_100000-v1,7.707557073068735,86.96791552615572,3.3900710564915055,1.5447141652323988
solar/10T/10T/long,epoch_999-step_100000-v1,9.100710175971335,118.22602044049067,4.0093162988900275,1.5625261632131833
solar/D/D/short,epoch_999-step_100000-v1,281.29187385948904,178496.0914841849,1.097397867710881,0.44376880228339083
solar/H/H/short,epoch_999-step_100000-v1,11.983513895475173,674.0253013349981,0.9253779820685051,1.4166737913023344
solar/H/H/medium,epoch_999-step_100000-v1,12.181067043035279,743.0710614355231,0.9325466021666484,1.4147688445950224
solar/H/H/long,epoch_999-step_100000-v1,13.271124955646796,777.1460842457421,1.0112255037602411,1.4193324705101948
solar/W/W-FRI/short,epoch_999-step_100000-v1,1298.6569057937957,2609138.99270073,1.4247696299745463,0.24752743420356368
jena_weather/10T/10T/short,epoch_999-step_100000-v1,10.387065935891773,1582.2604370117188,0.3569989503626296,0.6063904822008619
jena_weather/10T/10T/medium,epoch_999-step_100000-v1,24.129629371279762,4483.115546085859,0.7919386853298034,0.6741243739760976
jena_weather/10T/10T/long,epoch_999-step_100000-v1,29.384979538690477,6428.09947296627,0.9042399475578855,0.6687031114634051
jena_weather/D/D/short,epoch_999-step_100000-v1,11.003424944196428,437.51488095238096,1.3307124871887943,0.487532254231249
jena_weather/H/H/short,epoch_999-step_100000-v1,9.05706060500372,1087.0120293817226,0.5455747274372593,0.6199444634265349
jena_weather/H/H/medium,epoch_999-step_100000-v1,11.789821273561508,1410.628373015873,0.8119448227301154,0.698906974245949
jena_weather/H/H/long,epoch_999-step_100000-v1,13.783792162698413,1260.3876984126985,1.0752068754895874,0.6921958642368893
kdd_cup_2018_with_missing/D/D/short,epoch_999-step_100000-v1,20.985107308238163,2894.6205392022407,1.1913380067089665,0.46254954183829666
kdd_cup_2018_with_missing/H/H/short,epoch_999-step_100000-v1,22.873355939314173,4471.810993262189,0.9560470714887457,0.5048485185564797
kdd_cup_2018_with_missing/H/H/medium,epoch_999-step_100000-v1,25.599780173699937,5264.000342265888,1.0475675720550968,0.5570400326135777
kdd_cup_2018_with_missing/H/H/long,epoch_999-step_100000-v1,24.377724655204737,4136.805652796737,1.0269593678517193,0.6106973179638987
temperature_rain_with_missing/D/short,epoch_999-step_100000-v1,6.084137862350875,178.4516390807518,1.441358814397803,1.4684785782421228
saugeenday/D/D/short,epoch_999-step_100000-v1,17.10880859375,1208.9135416666666,3.799150054655181,0.48213202734677035
saugeenday/M/M/short,epoch_999-step_100000-v1,13.861246744791666,427.05003720238096,0.8120234847486025,0.40623465035683576
saugeenday/W/W-THU/short,epoch_999-step_100000-v1,21.336351013183595,1554.830078125,1.7293947265808902,0.5263133326713957
us_births/D/D/short,epoch_999-step_100000-v1,337.5132291666667,267665.0933333333,0.4965727077465497,0.031724541501395066
us_births/M/M/short,epoch_999-step_100000-v1,6038.166666666667,51598602.666666664,0.6804929222544018,0.018935618949185298
us_births/W/W-TUE/short,epoch_999-step_100000-v1,1678.161830357143,4809243.428571428,1.5255900741853334,0.02268357933329334
LOOP_SEATTLE/5T/5T/short,epoch_999-step_100000-v1,3.9867008551724554,45.22202870277428,0.6299896454288251,0.08493621283319448
LOOP_SEATTLE/5T/5T/medium,epoch_999-step_100000-v1,6.697281676805179,113.62236672794117,1.0449918079972413,0.14754906667806142
LOOP_SEATTLE/5T/5T/long,epoch_999-step_100000-v1,7.292392500859993,127.76610222451554,1.1355244182238637,0.15813789058351715
LOOP_SEATTLE/D/D/short,epoch_999-step_100000-v1,2.97652886059016,19.273298086003006,0.8964835966436037,0.05493457126726361
LOOP_SEATTLE/H/H/short,epoch_999-step_100000-v1,5.3800894041218355,76.17719595547923,1.0952485536977947,0.11931943773057221
LOOP_SEATTLE/H/H/medium,epoch_999-step_100000-v1,6.776277278746614,98.73769752966976,1.374427894642771,0.1468313353869629
LOOP_SEATTLE/H/H/long,epoch_999-step_100000-v1,6.91507032543349,102.2450351186253,1.4144885451589215,0.1513284704487546
