dataset_config,model,MAE,MSE,MASE,SMAPE
kdd_cup_2018_with_missing/H/H/long,epoch_epoch_0599,25.669671098789554,3878.426018420328,1.0985169538756077,0.6618237573171956
temperature_rain_with_missing/D/short,epoch_epoch_0599,6.043715911829296,341.5914062724722,1.3884848664054117,1.5196625463374092
saugeenday/D/D/short,epoch_epoch_0599,14.9325341796875,1242.4586458333333,3.3176798008484987,0.39573165893554685
saugeenday/M/M/short,epoch_epoch_0599,13.562088739304315,430.01348586309524,0.7945215818961647,0.39670040493919734
saugeenday/W/W-THU/short,epoch_epoch_0599,18.689617919921876,1345.38017578125,1.5158541806011807,0.4924049377441406
us_births/D/D/short,epoch_epoch_0599,589.9309375,648570.8266666667,0.8688236786146956,0.05587081909179688
us_births/M/M/short,epoch_epoch_0599,7482.904947916667,88469136.0,0.8468938685566951,0.023321737845738728
us_births/W/W-TUE/short,epoch_epoch_0599,1668.5013950892858,5239522.285714285,1.5153339537260624,0.02244985955102103
LOOP_SEATTLE/5T/5T/short,epoch_epoch_0599,4.455006285865241,59.58030630452222,0.7004915201907448,0.09263331931934023
LOOP_SEATTLE/5T/5T/medium,epoch_epoch_0599,7.283539169831172,135.36860597466782,1.1382640970194018,0.15859195803710183
LOOP_SEATTLE/5T/5T/long,epoch_epoch_0599,7.509094304068484,146.1809175230765,1.1735005218344088,0.16105810556673097
LOOP_SEATTLE/D/D/short,epoch_epoch_0599,3.3287459665776775,21.245115905698732,0.9969221561602959,0.061093282035260744
LOOP_SEATTLE/H/H/short,epoch_epoch_0599,5.498130662004457,83.55837332593075,1.1157290416839407,0.12145243868952915
LOOP_SEATTLE/H/H/medium,epoch_epoch_0599,5.682430890125633,86.82159397373259,1.1583301138092785,0.1254609223612814
LOOP_SEATTLE/H/H/long,epoch_epoch_0599,5.518236588726431,84.70061754896585,1.1523875459539092,0.1230847235024488
SZ_TAXI/15T/15T/short,epoch_epoch_0599,2.892577960232093,18.138102397522793,0.5806135635205948,0.4115306780888484
SZ_TAXI/15T/15T/medium,epoch_epoch_0599,2.902753468048878,17.87089593349359,0.5678351447233566,0.4241928883087941
SZ_TAXI/15T/15T/long,epoch_epoch_0599,2.8334294941350606,17.025592614850428,0.5372193008740159,0.4146008005169382
SZ_TAXI/H/H/short,epoch_epoch_0599,1.9446599585378272,8.362603603265224,0.5942124286912046,0.3052969467945588
m4_daily/D/short,epoch_epoch_0599,200.83808621638585,454734942.3800568,3.926785323074179,0.034900562845966446
m4_hourly/H/short,epoch_epoch_0599,272.2505847113912,1327969.1663686656,1.823948748091049,0.12213154422680153
m4_monthly/M/short,epoch_epoch_0599,592.118056568287,2800789.262319444,1.0664596009135028,0.1356367951741925
m4_quarterly/Q-DEC/short,epoch_epoch_0599,614.5458041890462,3512918.700815104,1.3368555790025667,0.110966753333807
m4_weekly/W-SUN/short,epoch_epoch_0599,436.395462824084,961445.5333190486,5.040661602138624,0.09545054332536167
m4_yearly/A-DEC/short,epoch_epoch_0599,981.5721265411444,7510902343218.658,3.9269526647385113,0.1681596647720689
M_DENSE/D/D/short,epoch_epoch_0599,62.52714988425926,12766.052962962964,0.912745771934817,0.13081998471860531
M_DENSE/H/H/short,epoch_epoch_0599,113.60668538411458,59147.95788194444,0.9659898347662778,0.25720229466756184
M_DENSE/H/H/medium,epoch_epoch_0599,104.74355902777778,49801.41333333333,0.876153097478287,0.24171799553765191
M_DENSE/H/H/long,epoch_epoch_0599,113.88654320987655,56324.41283950617,0.966361857315175,0.2584386378158758
