dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,188.996139690647,1946249.878389676,0.7927608756046827,0.7672508386173048,188.996139690647,1946249.878389676,0.7927608756046827,0.7672508386173048
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,290.87368093372294,3029766.2101842766,1.0769967058873875,0.822748316643282,290.87368093372294,3029766.2101842766,1.0769967058873875,0.822748316643282
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,312.6675916019537,3159681.57025418,0.9818298246290111,0.8401838509840521,312.6675916019537,3159681.57025418,0.9818298246290111,0.8401838509840521
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,294.6738387642756,2369382.0953643247,1.1884562416619195,0.6026626000045282,294.6738387642756,2369382.0953643247,1.1884562416619195,0.6026626000045282
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,134.31736216778157,1755169.3744753795,1.7931253637156124,0.6967202787190836,134.31736216778157,1755169.3744753795,1.7931253637156124,0.6967202787190836
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,150.19355903822898,2253937.332987014,4.550226259913897,0.7544581128568574,150.19355903822898,2253937.332987014,4.550226259913897,0.7544581128568574
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,251.50478667100785,3758370.6120080296,3.512904014518123,0.7495860470394013,251.50478667100785,3758370.6120080296,3.512904014518123,0.7495860470394013
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,154.12990136876405,1674282.803613941,5.906063754485875,0.6007667720404141,154.12990136876405,1674282.803613941,5.906063754485875,0.6007667720404141
bizitobs_application,short,10S,bizitobs_application/10S/short,60,975.6506944444444,5028299.093333334,2.5290741638352903,0.03831212031171237,975.6506944444444,5028299.093333334,2.5290741638352903,0.03831212031171237
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2393.338125,22067097.6,5.1238775508195715,0.07763196740082824,2393.338125,22067097.6,5.1238775508195715,0.07763196740082824
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2579.7719444444447,21565508.266666666,5.934373975640012,0.08857312245230597,2579.7719444444447,21565508.266666666,5.934373975640012,0.08857312245230597
