dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,175.97909766101682,2040459.7604999368,0.7519317131263862,0.7681732722238769,175.97909766101682,2040459.7604999368,0.7519317131263862,0.7681732722238769
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,273.1407691871002,2834829.865257349,1.0766254656205627,0.8175365659454996,273.1407691871002,2834829.865257349,1.0766254656205627,0.8175365659454996
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,296.36591366866287,3053254.8875949155,0.9823400473241365,0.8327554780304398,296.36591366866287,3053254.8875949155,0.9823400473241365,0.8327554780304398
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,299.4258621093315,2800976.5541357137,1.131618489092737,0.5911400397259219,299.4258621093315,2800976.5541357137,1.131618489092737,0.5911400397259219
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,126.40464533806528,1696272.162724777,1.7244522761714236,0.6826667006668218,126.40464533806528,1696272.162724777,1.7244522761714236,0.6826667006668218
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,146.67890534304416,2260859.8780329465,4.455425874306341,0.7638416723010667,146.67890534304416,2260859.8780329465,4.455425874306341,0.7638416723010667
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,253.56855779047203,4005777.3932989426,3.4212086026749375,0.7415727274974436,253.56855779047203,4005777.3932989426,3.4212086026749375,0.7415727274974436
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,153.78431703741404,1823232.4699422212,5.831633379133241,0.5789595390460018,153.78431703741404,1823232.4699422212,5.831633379133241,0.5789595390460018
bizitobs_application,short,10S,bizitobs_application/10S/short,60,935.2545138888889,3981200.2133333334,2.533928328858839,0.03798580043301464,935.2545138888889,3981200.2133333334,2.533928328858839,0.03798580043301464
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2951.7977083333335,25032098.133333333,6.367644335134846,0.09306931612216464,2951.7977083333335,25032098.133333333,6.367644335134846,0.09306931612216464
bizitobs_application,long,10S,bizitobs_application/10S/long,900,3222.0194444444446,27288318.86222222,6.974109402103655,0.10138107798497888,3222.0194444444446,27288318.86222222,6.974109402103655,0.10138107798497888
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.76469239734468,21.554322451636907,0.2889667873250466,0.21357843187050057,2.76469239734468,21.554322451636907,0.2889667873250466,0.21357843187050057
