dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,187.55635883325434,1968975.4836454175,0.7788586993436087,0.7683390271406502,187.55635883325434,1968975.4836454175,0.7788586993436087,0.7683390271406502
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,308.5431585369903,3515534.858020814,1.0845790218440934,0.8150421602563581,308.5431585369903,3515534.858020814,1.0845790218440934,0.8150421602563581
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,370.8673274404214,3698856.684784588,1.0010755823133015,0.8291405263816825,370.8673274404214,3698856.684784588,1.0010755823133015,0.8291405263816825
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,320.50201960059985,2583751.1146387598,1.1994192183044552,0.601473253757005,320.50201960059985,2583751.1146387598,1.1994192183044552,0.601473253757005
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,132.75295404606578,1647265.3379604458,1.7841984785670033,0.7012325401852987,132.75295404606578,1647265.3379604458,1.7841984785670033,0.7012325401852987
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,151.03789498756967,2217008.9672319978,4.527841672185439,0.7440981329034367,151.03789498756967,2217008.9672319978,4.527841672185439,0.7440981329034367
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,245.2671470923594,3478028.779228483,3.5270419979397154,0.7372737316476162,245.2671470923594,3478028.779228483,3.5270419979397154,0.7372737316476162
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,152.83809136773237,1630129.5214298724,5.9183459026048375,0.6040582713286327,152.83809136773237,1630129.5214298724,5.9183459026048375,0.6040582713286327
bizitobs_application,short,10S,bizitobs_application/10S/short,60,924.7295138888888,4138452.48,2.533567084321747,0.03760221370924275,924.7295138888888,4138452.48,2.533567084321747,0.03760221370924275
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,2321.050625,21925800.96,5.945427065491522,0.08624839719336536,2321.050625,21925800.96,5.945427065491522,0.08624839719336536
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2538.48,21235179.52,6.626896113061738,0.09502471557455108,2538.48,21235179.52,6.626896113061738,0.09502471557455108
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.6459761483328683,20.319346545991444,0.27293447182459685,0.20850981391115234,2.6459761483328683,20.319346545991444,0.27293447182459685,0.20850981391115234
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.235995296556123,145.95550595238095,0.8004271625972165,0.7922416522958186,8.235995296556123,145.95550595238095,0.8004271625972165,0.7922416522958186
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,13.308699156746032,367.9897619047619,1.2451972710478383,1.1044510135212318,13.308699156746032,367.9897619047619,1.2451972710478383,1.1044510135212318
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,7.212816510881696,151.55636160714286,0.7151124373994676,0.7644770294741879,7.212816510881696,151.55636160714286,0.7151124373994676,0.7644770294741879
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,8.713152204241071,151.4370349702381,0.8461809273935473,0.8820320185557052,8.713152204241071,151.4370349702381,0.8461809273935473,0.8820320185557052
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,10.069839719742063,183.79263392857143,1.0203213581833959,0.8672206771968494,10.069839719742063,183.79263392857143,1.0203213581833959,0.8672206771968494
bizitobs_service,short,10S,bizitobs_service/10S/short,60,43.528816395916,21568.674658151456,1.5299937120813423,0.08791618878640375,43.528816395916,21568.674658151456,1.5299937120813423,0.08791618878640375
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,116.39302083333334,155624.4926984127,3.284458870405821,0.1439241387909131,116.39302083333334,155624.4926984127,3.284458870405821,0.1439241387909131
bizitobs_service,long,10S,bizitobs_service/10S/long,900,132.1354365079365,202475.41164021165,3.4232516490227836,0.1572339738429521,132.1354365079365,202475.41164021165,3.4232516490227836,0.1572339738429521
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.47974719731348736,1.3125363991398948,0.8683561380780934,1.865865869989089,0.47974719731348736,1.3125363991398948,0.8683561380780934,1.865865869989089
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.299835883807229,29.31451012815213,0.744968938353092,1.0560184355368147,2.299835883807229,29.31451012815213,0.744968938353092,1.0560184355368147
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.248639252226232,489.70366190247614,0.756892435762874,0.4758614674510184,9.248639252226232,489.70366190247614,0.756892435762874,0.4758614674510184
restaurant,short,D,restaurant/D/short,30,7.2588530448100546,144.92929858970766,0.6927816819621817,0.3981177690231501,7.2588530448100546,144.92929858970766,0.6927816819621817,0.3981177690231501
covid_deaths,short,D,covid_deaths/D/short,30,257.48040021929825,1979781.0360902257,46.917382864060045,0.41929979933353867,257.48040021929825,1979781.0360902257,46.917382864060045,0.41929979933353867
hospital,short,M,hospital/M/short,12,18.720785990635864,3173.3531345067363,0.7675572280659076,0.17408530941037892,18.720785990635864,3173.3531345067363,0.7675572280659076,0.17408530941037892
electricity/15T,short,15T,electricity/15T/15T/short,48,68.74046476896818,176493.49629860817,1.3045975225573272,0.20830091157932973,68.74046476896818,176493.49629860817,1.3045975225573272,0.20830091157932973
electricity/15T,medium,15T,electricity/15T/15T/medium,480,65.68485986768017,312513.1561010346,1.0654678528672068,0.17493834011600168,65.68485986768017,312513.1561010346,1.0654678528672068,0.17493834011600168
electricity/15T,long,15T,electricity/15T/15T/long,720,70.98707335216075,428746.3988243947,1.0882827799867871,0.1724800745692618,70.98707335216075,428746.3988243947,1.0882827799867871,0.1724800745692618
electricity/D,short,D,electricity/D/D/short,30,4688.126682432432,1575100961.5659819,1.5225791630299288,0.10354866415421952,4688.126682432432,1575100961.5659819,1.5225791630299288,0.10354866415421952
electricity/H,short,H,electricity/H/H/short,48,187.52898813058664,1652995.043001126,1.0298417749603914,0.1372845750620561,187.52898813058664,1652995.043001126,1.0298417749603914,0.1372845750620561
electricity/H,medium,H,electricity/H/H/medium,480,271.0798146290822,8472484.5574634,1.1521085247752298,0.13933805558787454,271.0798146290822,8472484.5574634,1.1521085247752298,0.13933805558787454
electricity/H,long,H,electricity/H/H/long,720,326.91312021396396,13880857.903015016,1.332509898050818,0.1548576678321614,326.91312021396396,13880857.903015016,1.332509898050818,0.1548576678321614
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8,54984.53375563063,293782225443.05585,2.0659148302119155,0.12279253777825018,54984.53375563063,293782225443.05585,2.0659148302119155,0.12279253777825018
ett1/15T,short,15T,ett1/15T/15T/short,48,1.1828395389375232,5.385275749933152,0.747143859595875,0.253699773089356,1.1828395389375232,5.385275749933152,0.747143859595875,0.253699773089356
ett1/15T,medium,15T,ett1/15T/15T/medium,480,1.6466510881696428,9.599111560639882,1.073876900294192,0.41891069725731434,1.6466510881696428,9.599111560639882,1.073876900294192,0.41891069725731434
ett1/15T,long,15T,ett1/15T/15T/long,720,1.6127693878658234,8.935723741319444,1.0720126320511407,0.4158957167727207,1.6127693878658234,8.935723741319444,1.0720126320511407,0.4158957167727207
ett1/D,short,D,ett1/D/D/short,30,129.22894345238095,36527.073015873015,1.6404661967993015,0.4597612163146283,129.22894345238095,36527.073015873015,1.6404661967993015,0.4597612163146283
ett1/H,short,H,ett1/H/H/short,48,4.899550991966611,94.9647710890997,0.8195729686914855,0.2621957430596598,4.899550991966611,94.9647710890997,0.8195729686914855,0.2621957430596598
ett1/H,medium,H,ett1/H/H/medium,480,6.873646763392857,133.49962797619048,1.271174169881747,0.4400618239409749,6.873646763392857,133.49962797619048,1.271174169881747,0.4400618239409749
ett1/H,long,H,ett1/H/H/long,720,7.12330005787037,151.63657407407408,1.3475682140845209,0.4700016073190827,7.12330005787037,151.63657407407408,1.3475682140845209,0.4700016073190827
ett1/W,short,W-THU,ett1/W/W-THU/short,8,836.36328125,1295660.857142857,1.5311376490165292,0.5668531390203461,836.36328125,1295660.857142857,1.5311376490165292,0.5668531390203461
ett2/15T,short,15T,ett2/15T/15T/short,48,2.0131183442615326,9.694970993768601,0.8511614896270595,0.13975874160128207,2.0131183442615326,9.694970993768601,0.8511614896270595,0.13975874160128207
ett2/15T,medium,15T,ett2/15T/15T/medium,480,2.3242767237103172,13.625329241071428,0.9515083494307516,0.16898810079642843,2.3242767237103172,13.625329241071428,0.9515083494307516,0.16898810079642843
ett2/15T,long,15T,ett2/15T/15T/long,720,2.3210094246031745,12.99894035218254,0.9609531843779194,0.17175242005304034,2.3210094246031745,12.99894035218254,0.9609531843779194,0.17175242005304034
ett2/D,short,D,ett2/D/D/short,30,211.5734623015873,118441.00317460317,1.3901542224546029,0.14561013549136065,211.5734623015873,118441.00317460317,1.3901542224546029,0.14561013549136065
ett2/H,short,H,ett2/H/H/short,48,6.439377267020089,108.42450125558035,0.7442189008931044,0.11101081646138004,6.439377267020089,108.42450125558035,0.7442189008931044,0.11101081646138004
ett2/H,medium,H,ett2/H/H/medium,480,9.618623279389881,235.0431175595238,1.0326198207338928,0.1692096422089902,9.618623279389881,235.0431175595238,1.0326198207338928,0.1692096422089902
ett2/H,long,H,ett2/H/H/long,720,9.70947833994709,239.71752645502644,1.0607728898019524,0.17564996541541592,9.70947833994709,239.71752645502644,1.0607728898019524,0.17564996541541592
ett2/W,short,W-THU,ett2/W/W-THU/short,8,1650.9991629464287,4995330.857142857,1.1710675179584935,0.2282607252363695,1650.9991629464287,4995330.857142857,1.1710675179584935,0.2282607252363695
solar/10T,short,10T,solar/10T/10T/short,48,2.849917803019503,33.00442224210196,1.2640566944342766,1.5876542981941832,2.849917803019503,33.00442224210196,1.2640566944342766,1.5876542981941832
solar/10T,medium,10T,solar/10T/10T/medium,480,2.591619264180353,27.584929055034838,1.1274224543867526,1.4970727876541947,2.591619264180353,27.584929055034838,1.1274224543867526,1.4970727876541947
solar/10T,long,10T,solar/10T/10T/long,720,2.7500241145793733,29.99284741230738,1.1952059449607508,1.5188612463078293,2.7500241145793733,29.99284741230738,1.1952059449607508,1.5188612463078293
solar/D,short,D,solar/D/D/short,30,289.2236446928224,190747.15523114355,1.130211783683926,0.4489730903197127,289.2236446928224,190747.15523114355,1.130211783683926,0.4489730903197127
solar/H,short,H,solar/H/H/short,48,11.687085767548862,706.7461002529133,0.904159921550723,1.40978781743993,11.687085767548862,706.7461002529133,0.904159921550723,1.40978781743993
solar/H,medium,H,solar/H/H/medium,480,12.616853068924879,702.5201338199513,0.9661181409950633,1.4136449923289591,12.616853068924879,702.5201338199513,0.9661181409950633,1.4136449923289591
solar/H,long,H,solar/H/H/long,720,13.484076407897405,717.3144946269261,1.0286975265426965,1.416656843620799,13.484076407897405,717.3144946269261,1.0286975265426965,1.416656843620799
solar/W,short,W-FRI,solar/W/W-FRI/short,8,1269.3340271441605,2500760.605839416,1.3932834663710927,0.24292490948164228,1269.3340271441605,2500760.605839416,1.3932834663710927,0.24292490948164228
jena_weather/10T,short,10T,jena_weather/10T/10T/short,48,6.610312234787714,935.8329083064245,0.315627235074846,0.5687886090498174,6.610312234787714,935.8329083064245,0.315627235074846,0.5687886090498174
jena_weather/10T,medium,10T,jena_weather/10T/10T/medium,480,11.32924001454275,1835.8105970418471,0.6439075037005363,0.662095343791822,11.32924001454275,1835.8105970418471,0.6439075037005363,0.662095343791822
jena_weather/10T,long,10T,jena_weather/10T/10T/long,720,11.190822379298941,1760.587390459656,0.6483104339713012,0.6448553431451823,11.190822379298941,1760.587390459656,0.6483104339713012,0.6448553431451823
jena_weather/D,short,D,jena_weather/D/D/short,30,11.942096044146826,584.6272321428571,1.2920408745903424,0.4819845321161012,11.942096044146826,584.6272321428571,1.2920408745903424,0.4819845321161012
jena_weather/H,short,H,jena_weather/H/H/short,48,9.160193727727522,1094.830518475551,0.5465936385098195,0.6208419848647524,9.160193727727522,1094.830518475551,0.5465936385098195,0.6208419848647524
jena_weather/H,medium,H,jena_weather/H/H/medium,480,11.469921875,1303.5923611111111,0.8125917876617086,0.6947822666145093,11.469921875,1303.5923611111111,0.8125917876617086,0.6947822666145093
jena_weather/H,long,H,jena_weather/H/H/long,720,13.161676380621692,1278.3023809523809,1.033485971370333,0.6739339865594685,13.161676380621692,1278.3023809523809,1.033485971370333,0.6739339865594685
kdd_cup_2018_with_missing/D,short,D,kdd_cup_2018_with_missing/D/D/short,30,21.356526156991823,2980.109407207926,1.204352055391969,0.47377510179204463,21.356526156991823,2980.109407207926,1.204352055391969,0.47377510179204463
kdd_cup_2018_with_missing/H,short,H,kdd_cup_2018_with_missing/H/H/short,48,22.459275150166416,4561.164320742081,0.935080758054638,0.49618701681722244,22.459275150166416,4561.164320742081,0.935080758054638,0.49618701681722244
kdd_cup_2018_with_missing/H,medium,H,kdd_cup_2018_with_missing/H/H/medium,480,24.67564061039611,5004.404518787325,1.0302889809244586,0.5464904898057512,24.67564061039611,5004.404518787325,1.0302889809244586,0.5464904898057512
kdd_cup_2018_with_missing/H,long,H,kdd_cup_2018_with_missing/H/H/long,720,23.155553525289868,3898.3642130641374,0.9893015764660982,0.5870646633672914,23.155553525289868,3898.3642130641374,0.9893015764660982,0.5870646633672914
temperature_rain_with_missing,short,D,temperature_rain_with_missing/D/short,30,5.860002530083559,185.18294581744286,1.364518061946492,1.505255607502728,5.860002530083559,185.18294581744286,1.364518061946492,1.505255607502728
saugeenday/D,short,D,saugeenday/D/D/short,30,15.0400146484375,1264.6726041666666,3.3408798629653127,0.4120600509130759,15.0400146484375,1264.6726041666666,3.3408798629653127,0.4120600509130759
