dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE
bitbrains_fast_storage/5T,short,5T,bitbrains_fast_storage/5T/5T/short,48,204.42387554141408,2086801.9939297605,0.7968915598660978,0.7743799714302869,204.42387554141408,2086801.9939297605,0.7968915598660978,0.7743799714302869
bitbrains_fast_storage/5T,medium,5T,bitbrains_fast_storage/5T/5T/medium,480,336.8118067866079,3705502.875902639,1.112119757605873,0.8176794255861739,336.8118067866079,3705502.875902639,1.112119757605873,0.8176794255861739
bitbrains_fast_storage/5T,long,5T,bitbrains_fast_storage/5T/5T/long,720,412.7354921794753,4661668.11460026,1.0507984502172127,0.837908051567881,412.7354921794753,4661668.11460026,1.0507984502172127,0.837908051567881
bitbrains_fast_storage/H,short,H,bitbrains_fast_storage/H/H/short,48,284.3628119504226,2248831.7518850304,1.163645243939691,0.6033262425616102,284.3628119504226,2248831.7518850304,1.163645243939691,0.6033262425616102
bitbrains_rnd/5T,short,5T,bitbrains_rnd/5T/5T/short,48,131.69253581454598,1651293.5465742745,1.796091964838648,0.6985952250136982,131.69253581454598,1651293.5465742745,1.796091964838648,0.6985952250136982
bitbrains_rnd/5T,medium,5T,bitbrains_rnd/5T/5T/medium,480,153.19303987768834,2217264.672480878,4.558280264853804,0.7510363937809172,153.19303987768834,2217264.672480878,4.558280264853804,0.7510363937809172
bitbrains_rnd/5T,long,5T,bitbrains_rnd/5T/5T/long,720,237.12077585118485,3407746.7540945876,3.5500215228943377,0.733855357780164,237.12077585118485,3407746.7540945876,3.5500215228943377,0.733855357780164
bitbrains_rnd/H,short,H,bitbrains_rnd/H/H/short,48,160.75217895065546,1768832.036523962,5.889344975719216,0.6053956995621678,160.75217895065546,1768832.036523962,5.889344975719216,0.6053956995621678
bizitobs_application,short,10S,bizitobs_application/10S/short,60,853.5134027777777,4195334.542222222,2.308571780596133,0.03439103923568539,853.5134027777777,4195334.542222222,2.308571780596133,0.03439103923568539
bizitobs_application,medium,10S,bizitobs_application/10S/medium,600,3026.859375,31726376.96,7.157457506064044,0.1051192299362294,3026.859375,31726376.96,7.157457506064044,0.1051192299362294
bizitobs_application,long,10S,bizitobs_application/10S/long,900,2791.1844444444446,23335337.52888889,7.343873827485991,0.10527326914735735,2791.1844444444446,23335337.52888889,7.343873827485991,0.10527326914735735
bizitobs_l2c/5T,short,5T,bizitobs_l2c/5T/5T/short,48,2.6027902693975538,20.190198916480654,0.2689819834937024,0.2069383769269963,2.6027902693975538,20.190198916480654,0.2689819834937024,0.2069383769269963
bizitobs_l2c/5T,medium,5T,bizitobs_l2c/5T/5T/medium,480,8.324556228741496,151.6841198979592,0.8048378253474494,0.912559071932783,8.324556228741496,151.6841198979592,0.8048378253474494,0.912559071932783
bizitobs_l2c/5T,long,5T,bizitobs_l2c/5T/5T/long,720,13.028407738095238,369.82492063492066,1.218123788843456,1.2201516310063456,13.028407738095238,369.82492063492066,1.218123788843456,1.2201516310063456
bizitobs_l2c/H,short,H,bizitobs_l2c/H/H/short,48,8.085278223431299,168.6939484126984,0.795598376180694,0.7966835185617336,8.085278223431299,168.6939484126984,0.795598376180694,0.7966835185617336
bizitobs_l2c/H,medium,H,bizitobs_l2c/H/H/medium,480,10.512033807663691,220.28800223214284,1.0360640264980725,0.9828091851484879,10.512033807663691,220.28800223214284,1.0360640264980725,0.9828091851484879
bizitobs_l2c/H,long,H,bizitobs_l2c/H/H/long,720,11.375627790178571,235.55669642857143,1.1417710570750867,0.9657826342537711,11.375627790178571,235.55669642857143,1.1417710570750867,0.9657826342537711
bizitobs_service,short,10S,bizitobs_service/10S/short,60,44.940079029224535,24133.608285383598,1.5450605401904518,0.08484208937432743,44.940079029224535,24133.608285383598,1.5450605401904518,0.08484208937432743
bizitobs_service,medium,10S,bizitobs_service/10S/medium,600,134.6365625,166076.04063492065,3.862916874752333,0.16208103210179922,134.6365625,166076.04063492065,3.862916874752333,0.16208103210179922
bizitobs_service,long,10S,bizitobs_service/10S/long,900,169.12148148148148,215675.80105820106,4.536507837148279,0.1852020327909393,169.12148148148148,215675.80105820106,4.536507837148279,0.1852020327909393
car_parts_with_missing,short,M,car_parts_with_missing/M/short,12,0.46578916446041646,1.32799851918135,0.8544932781533752,1.8864174976680852,0.46578916446041646,1.32799851918135,0.8544932781533752,1.8864174976680852
hierarchical_sales/D,short,D,hierarchical_sales/D/D/short,30,2.3080073179613216,29.45434729775992,0.7465503273287921,1.0543062726551584,2.3080073179613216,29.45434729775992,0.7465503273287921,1.0543062726551584
hierarchical_sales/W,short,W-WED,hierarchical_sales/W/W-WED/short,8,9.239020202119471,486.0601889400159,0.7532085488816005,0.4841561417623814,9.239020202119471,486.0601889400159,0.7532085488816005,0.4841561417623814
restaurant,short,D,restaurant/D/short,30,7.314997521882589,147.68412713353413,0.6969913403339854,0.4008610333910569,7.314997521882589,147.68412713353413,0.6969913403339854,0.4008610333910569
covid_deaths,short,D,covid_deaths/D/short,30,296.8556836427005,2702760.037092732,47.1937624082048,0.4212944166755287,296.8556836427005,2702760.037092732,47.1937624082048,0.4212944166755287
hospital,short,M,hospital/M/short,12,19.289640119105822,3319.166649690352,0.7796058895204804,0.17518111261864025,19.289640119105822,3319.166649690352,0.7796058895204804,0.17518111261864025
electricity/15T,short,15T,electricity/15T/15T/short,48,69.60057051924971,178634.4201779807,1.3113005144976513,0.2094046318951352,69.60057051924971,178634.4201779807,1.3113005144976513,0.2094046318951352
electricity/15T,medium,15T,electricity/15T/15T/medium,480,69.17291117460233,323864.9712214773,1.130853000884286,0.18495222435512454,69.17291117460233,323864.9712214773,1.130853000884286,0.18495222435512454
electricity/15T,long,15T,electricity/15T/15T/long,720,76.92125806763795,457826.9020625586,1.1779285016670311,0.18612210051507116,76.92125806763795,457826.9020625586,1.1779285016670311,0.18612210051507116
electricity/D,short,D,electricity/D/D/short,30,4701.21340990991,1607624845.2197478,1.5314175923352404,0.10427897542356006,4701.21340990991,1607624845.2197478,1.5314175923352404,0.10427897542356006
electricity/H,short,H,electricity/H/H/short,48,187.1892729613158,1688379.3286373874,1.0136332026210195,0.1368801837665764,187.1892729613158,1688379.3286373874,1.0136332026210195,0.1368801837665764
electricity/H,medium,H,electricity/H/H/medium,480,287.7669746797579,9518569.569676239,1.2010414963286784,0.1435698818232375,287.7669746797579,9518569.569676239,1.2010414963286784,0.1435698818232375
electricity/H,long,H,electricity/H/H/long,720,348.4024779466967,15804491.447783783,1.3873857230538933,0.1592780762381946,348.4024779466967,15804491.447783783,1.3873857230538933,0.1592780762381946
electricity/W,short,W-FRI,electricity/W/W-FRI/short,8,47920.74648085586,213242434165.6216,1.9428574452691634,0.11770613453957027,47920.74648085586,213242434165.6216,1.9428574452691634,0.11770613453957027
ett1/15T,short,15T,ett1/15T/15T/short,48,1.201662758418492,5.196350515456427,0.7696615495205943,0.2672254009199379,1.201662758418492,5.196350515456427,0.7696615495205943,0.2672254009199379
ett1/15T,medium,15T,ett1/15T/15T/medium,480,1.7336301773313492,10.507339874751985,1.1485164311193832,0.4470984773319493,1.7336301773313492,10.507339874751985,1.1485164311193832,0.4470984773319493
ett1/15T,long,15T,ett1/15T/15T/long,720,1.7520320444258433,10.366754906063989,1.1704516725704937,0.45160031555600927,1.7520320444258433,10.366754906063989,1.1704516725704937,0.45160031555600927
ett1/D,short,D,ett1/D/D/short,30,140.899751984127,45318.15238095238,1.7376271910601768,0.49489443373755343,140.899751984127,45318.15238095238,1.7376271910601768,0.49489443373755343
ett1/H,short,H,ett1/H/H/short,48,5.133307538713727,103.00322585332961,0.8450869965611113,0.27202977777656817,5.133307538713727,103.00322585332961,0.8450869965611113,0.27202977777656817
ett1/H,medium,H,ett1/H/H/medium,480,7.378242420014881,158.17568824404762,1.3488543798222692,0.4664582806761559,7.378242420014881,158.17568824404762,1.3488543798222692,0.4664582806761559
ett1/H,long,H,ett1/H/H/long,720,7.773830191798941,186.7267857142857,1.4305214974657465,0.49339067047027857,7.773830191798941,186.7267857142857,1.4305214974657465,0.49339067047027857
ett1/W,short,W-THU,ett1/W/W-THU/short,8,933.4155970982143,1511700.857142857,1.6692104473187208,0.5945368579644467,933.4155970982143,1511700.857142857,1.6692104473187208,0.5945368579644467
ett2/15T,short,15T,ett2/15T/15T/short,48,2.056466456821987,9.912091500418526,0.8976290196025226,0.1501576970200168,2.056466456821987,9.912091500418526,0.8976290196025226,0.1501576970200168
ett2/15T,medium,15T,ett2/15T/15T/medium,480,2.4728138175843255,15.264272693452382,1.0193023618780532,0.18128442980063325,2.4728138175843255,15.264272693452382,1.0193023618780532,0.18128442980063325
ett2/15T,long,15T,ett2/15T/15T/long,720,2.469822474888393,14.066021825396826,1.0375606588073822,0.1849847356493275,2.469822474888393,14.066021825396826,1.0375606588073822,0.1849847356493275
ett2/D,short,D,ett2/D/D/short,30,225.66927083333334,128812.06349206349,1.5122523548944455,0.1587916815883181,225.66927083333334,128812.06349206349,1.5122523548944455,0.1587916815883181
ett2/H,short,H,ett2/H/H/short,48,6.363146827334449,104.96407877604166,0.7396672828047461,0.11104437555867683,6.363146827334449,104.96407877604166,0.7396672828047461,0.11104437555867683
