dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
jena_weather/H/short,hd10_official_s0_100k,0.5842721789909631,9.174930327119883,1136.3219507101087,0.04644910684181491
jena_weather/H/medium,hd10_official_s0_100k,0.9696249854844088,12.953021918402778,1577.5142857142857,0.06562818661227039
jena_weather/H/long,hd10_official_s0_100k,0.9846159434694436,13.44356605489418,1441.491931216931,0.06821817002255827
kdd_cup_2018/D/short,hd10_official_s0_100k,1.2137214962623712,21.428269247352716,2943.885534069752,0.3822765199782738
kdd_cup_2018/H/short,hd10_official_s0_100k,0.9607115061965078,23.207711239485196,4776.156459939533,0.39235115934569254
kdd_cup_2018/H/medium,hd10_official_s0_100k,1.117599159579789,26.6770233865235,5402.620768299158,0.47868979467125755
kdd_cup_2018/H/long,hd10_official_s0_100k,1.0669222044501196,24.964487937292375,4264.6234708315515,0.5094853511036289
m4_daily/D/short,hd10_official_s0_100k,3.3636134625782113,177.72755183514144,349846.53553685494,0.02192495979862271
m4_hourly/H/short,hd10_official_s0_100k,1.1040294027804356,188.69165157004832,507974.95652173914,0.0221787717923872
m4_monthly/M/short,hd10_official_s0_100k,1.0384767385115412,600.8625536747685,2038095.2073888888,0.10020043869268119
m4_quarterly/Q/short,hd10_official_s0_100k,1.298460807747317,601.7119736328125,1945424.988,0.08070987114804719
m4_weekly/W/short,hd10_official_s0_100k,2.427387383023079,315.3066745232483,397870.8446539533,0.04549052763669489
m4_yearly/A/short,hd10_official_s0_100k,3.7063722749011516,989.0648931037985,4224607.456312933,0.13054641663933936
restaurant/D/short,hd10_official_s0_100k,0.6797430885308051,7.090986949250491,140.23546511627907,0.2558610075355492
saugeen/D/short,hd10_official_s0_100k,2.826036156841831,12.724453125,1048.9427083333333,0.3362414636291626
saugeen/M/short,hd10_official_s0_100k,0.7235944890714217,12.349962506975446,384.29164341517856,0.2993957828933074
saugeen/W/short,hd10_official_s0_100k,1.4217259729621083,17.522000122070313,1346.3529296875,0.4361493698950316
solar/10T/short,hd10_official_s0_100k,1.0663195200939979,2.447863739830444,28.341329146707725,0.5470173277720087
solar/10T/medium,hd10_official_s0_100k,1.1784939922330446,2.6602100786606946,31.843459688122095,0.4689439873186914
solar/10T/long,hd10_official_s0_100k,1.4741610348029428,3.3087538769452047,44.0682464327352,0.567884173067196
solar/D/short,hd10_official_s0_100k,1.0046654904889052,257.2670316301703,148192.06228710464,0.2922488814131191
solar/H/short,hd10_official_s0_100k,0.898659265877798,11.655102470281687,696.7491796324754,0.3452209628720247
solar/H/medium,hd10_official_s0_100k,0.9480440485709367,12.445448410888078,765.1745742092457,0.36882402203036624
solar/H/long,hd10_official_s0_100k,1.0118826503300655,13.321871198296837,740.6887266828872,0.3707445840755042
solar/W/short,hd10_official_s0_100k,1.742741055774288,1588.5818886861314,4072101.8394160583,0.24827126180594072
temperature_rain/D/short,hd10_official_s0_100k,1.3578222894477256,5.8514941390749575,183.83016387550398,0.5578586841096367
us_births/D/short,hd10_official_s0_100k,0.44756802821097796,303.96403645833334,215435.52,0.023378304347281786
us_births/M/short,hd10_official_s0_100k,0.9524011326274628,8392.69921875,105743893.33333333,0.020142927758495455
us_births/W/short,hd10_official_s0_100k,1.53305570743751,1687.23046875,5118029.714285715,0.018697715374640357
