dataset,term,frequency,config_name,error
bitbrains_fast_storage/5T,short,?,bitbrains_fast_storage/5T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_fast_storage/5T,medium,?,bitbrains_fast_storage/5T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_fast_storage/5T,long,?,bitbrains_fast_storage/5T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_fast_storage/H,short,?,bitbrains_fast_storage/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_rnd/5T,short,?,bitbrains_rnd/5T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_rnd/5T,medium,?,bitbrains_rnd/5T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_rnd/5T,long,?,bitbrains_rnd/5T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
bitbrains_rnd/H,short,?,bitbrains_rnd/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_application,short,?,bizitobs_application/?/short,"The forecast_array (shape=(60, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_application,medium,?,bizitobs_application/?/medium,"The forecast_array (shape=(600, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_application,long,?,bizitobs_application/?/long,"The forecast_array (shape=(900, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/5T,short,?,bizitobs_l2c/5T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/5T,medium,?,bizitobs_l2c/5T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/5T,long,?,bizitobs_l2c/5T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/H,short,?,bizitobs_l2c/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/H,medium,?,bizitobs_l2c/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_l2c/H,long,?,bizitobs_l2c/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_service,short,?,bizitobs_service/?/short,"The forecast_array (shape=(60, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_service,medium,?,bizitobs_service/?/medium,"The forecast_array (shape=(600, 9) should have the same length as the forecast_keys (len=9)."
bizitobs_service,long,?,bizitobs_service/?/long,"The forecast_array (shape=(900, 9) should have the same length as the forecast_keys (len=9)."
car_parts_with_missing,short,?,car_parts_with_missing/?/short,"The forecast_array (shape=(12, 9) should have the same length as the forecast_keys (len=9)."
hierarchical_sales/D,short,?,hierarchical_sales/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
hierarchical_sales/W,short,?,hierarchical_sales/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
restaurant,short,?,restaurant/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
covid_deaths,short,?,covid_deaths/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
hospital,short,?,hospital/?/short,"The forecast_array (shape=(12, 9) should have the same length as the forecast_keys (len=9)."
electricity/15T,short,?,electricity/15T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
electricity/15T,medium,?,electricity/15T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
electricity/15T,long,?,electricity/15T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
electricity/D,short,?,electricity/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
electricity/H,short,?,electricity/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
electricity/H,medium,?,electricity/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
electricity/H,long,?,electricity/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
electricity/W,short,?,electricity/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
ett1/15T,short,?,ett1/15T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
