dataset,term,prediction_length,raw_MASE,A1_d4_MASE,A1_uniform_MASE,A1_invvar_MASE,A1_qpool_MASE
m4_monthly,short,18,1.0585077063776638,1.1257619154962992,1.0731548353999811,1.0599934170562626,1.0731548353999811
electricity/H,short,48,1.3422994002380053,1.7540580218391708,1.4776427923107938,1.379328930089797,1.4776427923107938
hospital,short,12,0.812136289040609,0.9434032210116865,0.8529258811955469,0.8251716210082752,0.8529258811955469
jena_weather/H,short,48,0.8737313693937331,0.9041550868615114,0.873296032274203,0.8666409493317464,0.873296032274203
ett1/H,short,48,0.9227530865710029,1.0439106568064211,0.9594927381027742,0.9377214416631449,0.9594927381027742
saugeenday/D,short,30,2.9481173447529874,2.9646331176838894,2.9365126470605203,2.936358271106733,2.9365126470605203
covid_deaths,short,30,31.876021927607155,31.24154739311057,31.391644393621426,31.479938483713198,31.391644393621426
m4_hourly,short,48,1.9004516212832965,2.392438092670245,1.9811173233032253,1.908726570515238,1.9811173233032253
