Run,Type,Degree,Initial Loss,Final Loss,Min Loss,Mean Loss,Std Loss,Total Steps,Data Points
pretrain_run_20251020_205126,baseline,0,4.309829235076904,2.3425190448760986,2.322941303253174,2.5963201591968534,0.18577622994093215,99999,1000
precond_chebyshev_d1_20251117_203920,chebyshev,1,4.321252822875977,2.349500894546509,2.330505609512329,2.5991656911373138,0.18332534180250656,99999,1000
precond_chebyshev_d2_20251117_203920,chebyshev,2,3.9674928188323975,2.153923273086548,2.1394598484039307,2.364409283399582,0.1566806379766241,99999,1000
precond_chebyshev_d3_20251117_204503,chebyshev,3,3.7923362255096436,2.008152484893799,1.9950333833694458,2.2118523865938187,0.1479282524725477,99999,1000
precond_chebyshev_d4_20251117_204534,chebyshev,4,3.716210126876831,1.979612946510315,1.9687867164611816,2.174648964762688,0.14074389886996547,99999,1000
precond_chebyshev_d5_20251117_204835,chebyshev,5,3.71720552444458,1.9905487298965454,1.9798051118850708,2.185380234718323,0.13785881914012185,99999,1000
precond_chebyshev_d6_20251117_204835,chebyshev,6,3.7550549507141113,2.063612222671509,2.0521068572998047,2.2535658402442933,0.1324691990688801,99999,1000
precond_chebyshev_d7_20251117_204835,chebyshev,7,3.9049272537231445,2.1604602336883545,2.14914608001709,2.3536013698577882,0.136835333261631,99999,1000
precond_chebyshev_d8_20251117_205249,chebyshev,8,3.965089797973633,2.654634714126587,2.654634714126587,2.8348397263165177,0.22885765654570708,5799,58
precond_chebyshev_d9_20251117_211819,chebyshev,9,4.140900611877441,2.4174039363861084,2.4039816856384277,2.604998084783554,0.1320013424425924,99999,1000
precond_chebyshev_d10_20251117_212026,chebyshev,10,4.2529144287109375,2.5592591762542725,2.5468344688415527,2.752052239894867,0.13512857031324052,99999,1000
